View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,COM,0,1,SingleQuestion,All of the following are tools & techniques of Manage Stakeholder Expectations except:,,,[Qno: PML_111] >> Stakeholder analysis is Tool and Technique of Identify Stakeholder process,,,,
,,,,,,,Communication Technology,,,,,
,,,,,,,Interpersonal skills,,,,,
,,,,,,,Management skills,,,,,
,,,,,,1,Stakeholder analysis,,,,,
Radio,COM,0,1,SingleQuestion,Which of the following is an input to Distribute Information?,,,[Qno: PML_114] >> In communication management knowledge area Project Charter is input & Stakeholder register is output of identify stakeholders. Change request is input only to one process in PMBoK.,,,,
,,,,,,1,Project management plan,,,,,
,,,,,,,Stakeholder register,,,,,
,,,,,,,Project charter,,,,,
,,,,,,,Change requests,,,,,
Radio,COM,0,1,SingleQuestion,Effective stakeholder management includes all of the following project elements except:,,,"[Qno: PML_120] >> As project manager you need to know how frequent the information need to be made available. Saying frequent is not sufficient, neither it guarantees the effective stakeholder management.",,,,
,,,,,,,Scope change control.,,,,,
,,,,,,,Timely status information.,,,,,
,,,,,,1,Frequent cost reports.,,,,,
,,,,,,,Clear requirements definition.,,,,,
Radio,COM,0,1,SingleQuestion,"Of the following management skills, which will a project manager use most?",,,[Qno: PML_125] >> An effective project manager&rsquo;s 90 % time goes in communication activities,,,,
,,,,,,,Leading,,,,,
,,,,,,,Negotiations.,,,,,
,,,,,,,Influencing the organization.,,,,,
,,,,,,1,Communication.,,,,,
Radio,COM,0,1,SingleQuestion,You are working with a team of 10 engineers and 2 team leaders. In the mid of project two test engineers joins your project. How many new communication channel opened because of this event?,,,"[Qno: PML_144] >> Initial team size=13 and number of communication channel = n*(n-1)/2 = 13*12/2= 78<BR>
Modified team size = 15 and number of total communication channels in new team = 15*14/2 = 105<BR>
New communication channels = # of Channels in New Team- # of Channels in Old Team = 105- 78 =27",,,,
,,,,,,1,27,,,,,
,,,,,,,20,,,,,
,,,,,,,105,,,,,
,,,,,,,78,,,,,
