View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,PM,0,1,SingleQuestion,You are the project manager on a project where even after several round of discussion with contractor you do not know that how time and material it will take to complete the project. In this situation which type would be the most appropriate for this project?,,,[Qno: PML_137] >> ,,,,
,,,,,,,Fixed price (FP),,,,,
,,,,,,,Cost plus Incentive Fee (CPIF),,,,,
,,,,,,1,Time & Material (T&M),,,,,
,,,,,,,Cost plus Fixed Fee (CPFF),,,,,
Radio,PM,0,1,SingleQuestion,"There are some constructive changes in your project, what are possible consequences of this?",,,[Qno: PML_420] >> PMBOK(r) Guide 4th Edition Page 339,,,,
,,,,,,,They might have been requested by the sponsor but not considered important by the project manager and can be an issue while getting payment from sponsor,,,,,
,,,,,,,They might be a result of a senior technical review and can stop the project if something serious was found.,,,,,
,,,,,,,They might be a proposed by the project team and can lead to issues with the stakeholders.,,,,,
,,,,,,1,They might be disputed by any one party and can lead to claims against the other.,,,,,
Radio,PM,0,1,SingleQuestion,You are working on a construction project and you know that same quality and grade of material can be available from many vendors. What would you include in the procurement package to ensure that offers from vendor are comparable?,,,[Qno: PML_465] >> ,,,,
,,,,,,,"The approved project scope statement, the WBS which should be broken down to Work Package level and the WBS dictionary",,,,,
,,,,,,,A statement of work describing the needs of the project in sufficient detail to enable vendors to make suitable proposals,,,,,
,,,,,,1,A statement of work specifying attributes and metrics of the requested deliverables in detail to allow vendors submission of bids,,,,,
,,,,,,,The risk management plan and the reports from those risk management reviews which have been made so far,,,,,
Radio,PM,0,1,SingleQuestion,Which is an appropriate order in most project situations for the development of scope-related documents?,,,[Qno: PML_507] >> ,,,,
,,,,,,,Work breakdown structure >> Scope statement >> Project charter >> CSOW (Contractual SOW) >> Contractual WBS,,,,,
,,,,,,,Feasibility study >> Contract >> Contractual WBS >> SOW descriptions >> PID (Project initiation document).,,,,,
,,,,,,1,Project SOW (Statement of work) >> Project charter >> Project scope management plan >> Project scope statement >> WBS  dictionary.,,,,,
,,,,,,,BOM (Bill of materials) >> CAP (Control account plan) >> Project charter >> Change management plan >> Scope baseline.,,,,,
Radio,PM,0,1,SingleQuestion,The process of identifying and defining a product or service required in project is called:,,,[Qno: PML_839] >> In procurement planning process you determine what products or services required from outside the project organization,,,,
,,,,,,,Source selection,,,,,
,,,,,,,Contract administration,,,,,
,,,,,,1,Procurement planning,,,,,
,,,,,,,Contract closeout,,,,,
Radio,PM,0,1,SingleQuestion,You write your procurement document in which process?,,,[Qno: PML_843] >> Create Procurement document is done in Plan Procurements process.,,,,
,,,,,,,Conduct Procurements,,,,,
,,,,,,,Administer Procurements,,,,,
,,,,,,1,Plan Procurements,,,,,
,,,,,,,Procurement Plan,,,,,
Radio,PM,0,1,SingleQuestion,"You are the project manager for a project with an estimate of $100,000. After carefully analyzing the details, you found that you can complete the project in $70,000 by re-using some of the components. What action you should take?",,,[Qno: PML_1044] >> ,,,,
,,,,,,1,"Should inform the Sponsor and explain the approach and explain him the new estimate of $70,000.",,,,,
,,,,,,,Should not inform anyone since this will be a profit and you can show that you have made a big profit.,,,,,
,,,,,,,"Reduce the contingency reserve of your project by $30,000",,,,,
,,,,,,,"Inform the team that they will be getting a huge bonus on successful completion of the project and divide the $30,000 at the end of the project to team members as performance bonus",,,,,
Radio,PM,0,1,SingleQuestion,Which Contract is most widely used in Procurement process,,,[Qno: PML_1095] >> ,,,,
,,,,,,,Fixed Price Award Fee,,,,,
,,,,,,,CPPC,,,,,
,,,,,,1,Fixed Price ,,,,,
,,,,,,,Time & Material,,,,,
Radio,PM,0,1,SingleQuestion,Which of the following contracts has the MOST risk for the buyer?,,,[Qno: PML_1164] >> In all first three options seller does not have incentive of controlling the prices. In the CPPC contract seller is rather getting more when material cost is high. So it is in his interest if material prices goes up.,,,,
,,,,,,,Cost plus fixed fee (CPFF),,,,,
,,,,,,,Time and Materials (T&M),,,,,
,,,,,,1,Cost plus percentage (CPPC),,,,,
,,,,,,,Fixed price (FP),,,,,
Radio,PM,0,1,SingleQuestion,Which of the following BEST describes the records management system?,,,"[Qno: PML_1247] >> The records management system is used in Administer Procurement and Close Procurement Processes. It is used to store your contracts and any related documents, so that future project managers can refer to them in future projects.",,,,
,,,,,,,A library that stores the lessons learned for past projects,,,,,
,,,,,,,A filing system to store paid invoices,,,,,
,,,,,,1,A system to store contracts and project records for future project managers to reference,,,,,
,,,,,,,"A system to store human resource records, salary information and work performance history",,,,,
Radio,PM,0,1,SingleQuestion,Which of the following contracts has the MOST risk for the seller?,,,[Qno: PML_1285] >> A fixed price (FP) contract means that the buyer pays one amount regardless of how much it costs the seller to do the work. A fixed price contract only makes sense in cases where the scope is very well known.,,,,
,,,,,,1,Fixed price (FP),,,,,
,,,,,,,Cost plus fixed fee (CPFF),,,,,
,,,,,,,Time and Materials (T&M),,,,,
,,,,,,,Cost plus percentage of costs (CPPC),,,,,
