View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,RM,0,1,SingleQuestion,"You are the project manager and one of your project activities is high-risk with a very high probability that your deadline is impacted. To ensure you will meet the deadline, you agreed with the major stakeholders to reduce the scope of the project to eliminate the high-risk activity. What type of risk response strategy are you using?",,,[Qno: PML_109] >> ,,,,
,,,,,,1,Mitigation,,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Transference,,,,,
,,,,,,,Acceptance,,,,,
Radio,RM,0,1,SingleQuestion,"Terms like uniform, normal, triangular, beta and log  are part of tools & techniques of Quantitative Risk Analysis?",,,[Qno: PML_121] >> ,,,,
,,,,,,1,Probability distributions,,,,,
,,,,,,,Statistical distributions,,,,,
,,,,,,,Impact distributions,,,,,
,,,,,,,Severity distributions,,,,,
Radio,RM,0,1,SingleQuestion,Insurance is an example of ___________?,,,[Qno: PML_138] >> ,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Acceptance,,,,,
,,,,,,,Mitigation,,,,,
,,,,,,1,Transference,,,,,
Radio,RM,0,1,SingleQuestion,Information-gathering techniques used in the identify Risk process include all of the following except:,,,[Qno: PML_147] >> Checklist is output of Plan Quality process.,,,,
,,,,,,,Delphi,,,,,
,,,,,,,Root cause analysis,,,,,
,,,,,,1,Checklists,,,,,
,,,,,,,Brainstorming,,,,,
Radio,RM,0,1,SingleQuestion,You vendor reported you that some activities will lead to cost overrun. But you informed him that desired product features are more important to us than any cost overrun. what type of risk response is the customer using?,,,[Qno: PML_149] >> ,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Transference,,,,,
,,,,,,1,Acceptance,,,,,
,,,,,,,Mitigation,,,,,
Radio,RM,0,1,SingleQuestion,The risk management plan generally includes all the following except:,,,[Qno: PML_167] >> Responses are planned in Risk Response Plan process,,,,
,,,,,,,Probability and impact matrix,,,,,
,,,,,,,Identify resources for risk management activities,,,,,
,,,,,,1,Responses to individual risks,,,,,
,,,,,,,Definition of risk probability and impact,,,,,
Radio,RM,0,1,SingleQuestion,"You are working  with new vendor and it has probability of 40 percent delay on your project and this will result in a $40,000 cost overrun. The expected value for this risk is:",,,[Qno: PML_185] >> ,,,,
,,,,,,1,"$ 16,000",,,,,
,,,,,,,$ 24000,,,,,
,,,,,,, 0.6%.,,,,,
,,,,,,,$ 1600,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is not a tool and technique of Perform Qualitative Risk Analysis?,,,"[Qno: PML_235] >> T&T of Perform qualitative Risk Analysis are Risk Probability and impact assessment, Probability and impact matrix, Risk data quality assessment, Risk Categorization, Risk urgency assessment, Expert Judgment",,,,
,,,,,,,Risk Urgency Assessment,,,,,
,,,,,,1,Diagramming techniques,,,,,
,,,,,,,Risk Probability & impact assessment,,,,,
,,,,,,,Risk data quality assessment,,,,,
Radio,RM,0,1,SingleQuestion,A warranty is an example of risk __________.,,,[Qno: PML_271] >> ,,,,
,,,,,,,Acceptance,,,,,
,,,,,,,Avoidance,,,,,
,,,,,,1,Transference,,,,,
,,,,,,,Mitigation,,,,,
Radio,RM,0,1,SingleQuestion,You are managing a state-of-the-art technology and highly complex project and it tend to have more uncertainty. While performing qualitative risk analysis which input document would take care of this fact?,,,[Qno: PML_274] >> ,,,,
,,,,,,,Project management plan,,,,,
,,,,,,1,Project scope statement,,,,,
,,,,,,,Requirements documentation,,,,,
,,,,,,,Scope baseline,,,,,
Radio,RM,0,1,SingleQuestion,Which are the objectives of Project Risk Management?,,,[Qno: PML_275] >> ,,,,
,,,,,,1,To decrease the probability and impact of negative events in the project. To increase the probability and impact of positive events.,,,,,
,,,,,,,To remove all the risks,,,,,
,,,,,,,"To document the causes for the risk when occurring, and to document the risk response.",,,,,
,,,,,,,To identify the project risks and risk responses.,,,,,
Radio,RM,0,1,SingleQuestion,"A PMI-RMP (Risk management professional) told you that high level approach to address an individual risk or overall project risk, broken down into a set of risk actions is called _____?",,,[Qno: PML_292] >> ,,,,
,,,,,,,Risk Management Plan,,,,,
,,,,,,,Risk category,,,,,
,,,,,,,Risk register,,,,,
,,,,,,1,Risk Response Strategy,,,,,
Radio,RM,0,1,SingleQuestion,A team member is arguing with you that we are wasting so much of project time in planning things which we are not sure to perform. And you explain to him that,,,[Qno: PML_300] >> ,,,,
,,,,,,,"Project risk can happen at any moment, we should plan for them",,,,,
,,,,,,,You should do what your project manager is saying.,,,,,
,,,,,,,Project risk happens throughout the project execution. We cannot take chance.,,,,,
,,,,,,1,"Project risk is uncertain, no one can predict when the event will happen but we should plan about them",,,,,
Radio,RM,0,1,SingleQuestion,You customer requested you to join a meeting next week. In this meeting he needs your help in developing a structure that ensures a comprehensive process of systematically identifying risks to a consistent level of detail and contributes to the effectiveness and quality of the Identify Risk process. What is your expected output from this session?,,,[Qno: PML_307] >> ,,,,
,,,,,,,The risk tracking procedure.,,,,,
,,,,,,,The probability and impact matrix.,,,,,
,,,,,,,The methodology for risk reporting formats.,,,,,
,,,,,,1,The risk breakdown structure.,,,,,
Radio,RM,0,1,SingleQuestion,On your project you identified that there are some possible risk attrition possible therefore you have kept extra resource on your project. This money you utilized from which reserve?,,,[Qno: PML_313] >> Contingency reserve is used to manage known unknown risk. Human Resource attribution is known unknown.,,,,
,,,,,,1,Contingency reserves,,,,,
,,,,,,,Risk management reserves,,,,,
,,,,,,,Management reserves,,,,,
,,,,,,,Project reserves,,,,,
Radio,RM,0,1,SingleQuestion,Management reserves are a which of the following?,,,[Qno: PML_320] >> ,,,,
,,,,,,,"For doing big parties, it is applicable only for big projects.",,,,,
,,,,,,,Separate money set aside to cover known unknowns.,,,,,
,,,,,,,Separate budget to cover cost of schedule overrun,,,,,
,,,,,,1,Separate budget account set aside to cover unknowns.,,,,,
Radio,RM,0,1,SingleQuestion,Tracking of risk activities is important for a project. Because it helps in,,,[Qno: PML_333] >> ,,,,
,,,,,,,Managing Current Project,,,,,
,,,,,,,Managing Future Projects,,,,,
,,,,,,,Redefining Risk Managing Strategy,,,,,
,,,,,,1,All of the above,,,,,
Radio,RM,0,1,SingleQuestion,Assumptions analysis in Project Risk Management?,,,[Qno: PML_337] >> ,,,,
,,,,,,1,Part of risk identification and it explores the validity of assumptions as they apply to the project.,,,,,
,,,,,,,Defines the assumptions for the project.,,,,,
,,,,,,,Identifies the weaknesses and strength of the performing organization.,,,,,
,,,,,,,Identifies the pre-requisites for risk identification.,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following generally involves risks?,,,[Qno: PML_344] >> Assumption leads to injection of risk in project. Others will help in eliminating risk.,,,,
,,,,,,1,Assumptions,,,,,
,,,,,,,Scope definition,,,,,
,,,,,,,Requirements definition,,,,,
,,,,,,,Organizational structure,,,,,
Radio,RM,0,1,SingleQuestion,In your IT project you have taken insurance for your development site. This is example of ,,,[Qno: PML_348] >> ,,,,
,,,,,,,Mitigation of risk,,,,,
,,,,,,,Avoidance of risk,,,,,
,,,,,,1,Transference of risk,,,,,
,,,,,,,Acceptance of risk,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is not part of risk management plan?,,,[Qno: PML_358] >> ,,,,
,,,,,,,Reporting formats,,,,,
,,,,,,,Revised Stakeholders&rsquo; tolerances,,,,,
,,,,,,,Roles and responsibilities,,,,,
,,,,,,1,Risk Response Plan,,,,,
Radio,RM,0,1,SingleQuestion,A team is responsible for identification of opportunities for the project that arise from organizational strength. It also identifies opportunities from the threats arising from organizational weaknesses. What this team is doing?,,,"[Qno: PML_380] >> In SWOT (Strength, Weakness, Opportunity & Threat) analysis, you convert your weakness into strengths and convert your threat into opportunities.",,,,
,,,,,,1,SWOT analysis,,,,,
,,,,,,,Expert judgment,,,,,
,,,,,,,Checklist analysis,,,,,
,,,,,,,Delphi analysis,,,,,
Radio,RM,0,1,SingleQuestion,Last week your team was performing qualitative risk analysis for your project. As a result the risks identified are grouped by categories. Now you are not able to locate that information. What is the right place for updating that information.?,,,[Qno: PML_388] >> ,,,,
,,,,,,,Risk management plan,,,,,
,,,,,,,Risk file,,,,,
,,,,,,,Risk breakdown structure,,,,,
,,,,,,1,Risk register,,,,,
Radio,RM,0,1,SingleQuestion,You are the project manager of a multi billion dollar IT project. Which of the following Tools Techniques will you use to develop the risk management plan?,,,[Qno: PML_403] >> ,,,,
,,,,,,,Risk event scheduling meetings,,,,,
,,,,,,,Variance analysis,,,,,
,,,,,,1,Planning meetings and analysis,,,,,
,,,,,,,Expert judgment,,,,,
Radio,RM,0,1,SingleQuestion,One of your team member is testing parts. After she have tested 60 parts out of 100 she was informed that there is 1 % probability of defect in those 100 parts. Now what is the probability of defect in remaining 40 parts. No defect was identified by her till now.,,,[Qno: PML_412] >> Probability is still 1 %. It cannot be 100 % because it is not certain event.,,,,
,,,,,,,<100 %,,,,,
,,,,,,,40%.,,,,,
,,,,,,1,1%.,,,,,
,,,,,,,60%.,,,,,
Radio,RM,0,1,SingleQuestion,Which tool you will use to create Risk Management Plan?,,,[Qno: PML_454] >> ,,,,
,,,,,,,Documentation reviews,,,,,
,,,,,,1,Risk planning meetings,,,,,
,,,,,,,Data precision rankings,,,,,
,,,,,,,Diagramming techniques,,,,,
Radio,RM,0,1,SingleQuestion,To perform active risk acceptance what should be done?,,,[Qno: PML_471] >> ,,,,
,,,,,,,Develop a plan to minimize impact so that if an identified risk occurs impact can be reduced.,,,,,
,,,,,,,Develop a plan to minimize the probability of occurrence for identified risks.,,,,,
,,,,,,1,"Create contingency reserves in resources, money and time.",,,,,
,,,,,,,Make additional resources available to speed up the project.,,,,,
Radio,RM,0,1,SingleQuestion,"During Risk identification sessions, you and your team identified more than 100 risks for your project. You couldn&rsquo;t sleep that night because the amount of time and energy required to make risk response plan for these risks is not available with you. You PMP friend suggested you that you should -------",,,"[Qno: PML_580] >> PMBOK(r) Guide 4th Edition, page 289.",,,,
,,,,,,1,"Use Qualitative risk analysis in order to prioritize risks for further action, such as Quantitative risk analysis.",,,,,
,,,,,,,Assess the probability of each risk qualitatively and further analyze only those risks with high probability.,,,,,
,,,,,,,Assess the potential impact of each risk qualitatively and further analyze only those risks with high impact.,,,,,
,,,,,,,Identify Risk triggers wherever possible. Develop risk response plan only for those risks for which no trigger could be found.,,,,,
Radio,RM,0,1,SingleQuestion,You identified a technical risk in your project and assigned a contingency plan for that. Planning contingency reserves is -----,,,"[Qno: PML_591] >> PMBOK(r) Guide 4th Edition, page 304",,,,
,,,,,,,Active risk mitigation,,,,,
,,,,,,1,Active risk acceptance,,,,,
,,,,,,,Passive risk acceptance,,,,,
,,,,,,,Passive risk avoidance,,,,,
Radio,RM,0,1,SingleQuestion,"In your project you have identified all the possible risks, developed risk response plan, risk owners are identified for each risk, contingency reserves allocated in your cost performance baseline even after that project is facing lot many hiccups. What may be the problem?",,,[Qno: PML_604] >> ,,,,
,,,,,,,You failed to develop Risk Breakdown Structure,,,,,
,,,,,,,You have not identified risk triggers,,,,,
,,,,,,,You have not calculated EMV of each risk,,,,,
,,,,,,1,You are not monitoring & controlling risks,,,,,
Radio,RM,0,1,SingleQuestion,In your project you noticed that people can leave due to low morale and motivation. In this context low morale and motivation is an example of ,,,[Qno: PML_728] >> A risk trigger is an indication that the risk is about to occur or has occurred.,,,,
,,,,,,,Work-around ,,,,,
,,,,,,,Risk monitoring ,,,,,
,,,,,,,Risk planning ,,,,,
,,,,,,1,Trigger,,,,,
Radio,RM,0,1,SingleQuestion,You recently completed a project phase and decide to do one party with team members at weekend. Being long weekend you know that some of the people may not come but didn&rsquo;t change your plan and went ahead with an assumption that probability is very low. This is an example of which risk response strategy?,,,[Qno: PML_733] >> ,,,,
,,,,,,,Avoidance ,,,,,
,,,,,,,Mitigation ,,,,,
,,,,,,1,Acceptance ,,,,,
,,,,,,,Transference ,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is true statement about risks? ,,,[Qno: PML_750] >> Only this is the only correct statement.,,,,
,,,,,,1,Risk identification happens in all the phases of the project. ,,,,,
,,,,,,,Risk register has list of only expired risks,,,,,
,,,,,,,You should take action only when risk has occurred,,,,,
,,,,,,,A risk that was not planned but has happened is called a trigger. ,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is an output of the Identify Risks process. ,,,[Qno: PML_752] >> Risk Register is the only output of the Risk identification process.,,,,
,,,,,,,Lessons Learned ,,,,,
,,,,,,,Checklists ,,,,,
,,,,,,,SWOT Analysis ,,,,,
,,,,,,1,None of the above,,,,,
Radio,RM,0,1,SingleQuestion,"With triangular distribution, the low, likely and high values are 20, 30 and 40, respectively. The mean is _____.",,,[Qno: PML_804] >> mean in Triangular Distribution = (20+30+40)/3= 30,,,,
,,,,,,1,30,,,,,
,,,,,,,22.5,,,,,
,,,,,,,25,,,,,
,,,,,,,27.5,,,,,
Radio,RM,0,1,SingleQuestion,Which is a valid response to positive risks?,,,"[Qno: PML_932] >> Positive risks may be responded by - ""Exploit"", ""Enhance"", ""Share"", ""Accept"".",,,,
,,,,,,,Exploit,,,,,
,,,,,,,Share,,,,,
,,,,,,,Enhance,,,,,
,,,,,,1,All,,,,,
Radio,RM,0,1,SingleQuestion,Which is a valid response to negative risks?,,,[Qno: PML_933] >> Risk mitigation is a response to negative risks.,,,,
,,,,,,,Exploit,,,,,
,,,,,,1,Mitigation,,,,,
,,,,,,,Enhance,,,,,
,,,,,,,Share,,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is NOT true regarding Risk Management Plan?,,,[Qno: PML_991] >> Risk register is updated when trigger for risk occurs.,,,,
,,,,,,,Risk Management Plan is an output of Plan Risk Management process,,,,,
,,,,,,1,Risk Management Plan will be updated when the trigger for a major risk occurs,,,,,
,,,,,,,"Risk Management Plan includes the categories of risk, their definition and Definition of risk probability and impact",,,,,
