View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,CM,0,1,SingleQuestion,What is the formula for  %age complete,,,[Qno: PML_259] >> ,,,,
,,,,,,,AC/BAC,,,,,
,,,,,,,PV/BAC,,,,,
,,,,,,,AV/BAC,,,,,
,,,,,,1,EV/BAC,,,,,
Radio,CM,0,1,SingleQuestion,"What is the future value of $50,000 invested for 7 years at 12 percent?",,,"[Qno: PML_268] >> FV= Present Value x (1+ rate/100)^years<BR>
FV = 50,000 x (1.12) ^ 7",,,,
,,,,,,1,"$ 110,534",,,,,
,,,,,,,"$ 95,450",,,,,
,,,,,,,"$ 99,450",,,,,
,,,,,,,"$ 100,064",,,,,
Radio,RM,0,1,SingleQuestion,Which of the following is not part of risk management plan?,,,[Qno: PML_358] >> ,,,,
,,,,,,,Reporting formats,,,,,
,,,,,,,Revised Stakeholders&rsquo; tolerances,,,,,
,,,,,,,Roles and responsibilities,,,,,
,,,,,,1,Risk Response Plan,,,,,
Radio,RM,0,1,SingleQuestion,A team is responsible for identification of opportunities for the project that arise from organizational strength. It also identifies opportunities from the threats arising from organizational weaknesses. What this team is doing?,,,"[Qno: PML_380] >> In SWOT (Strength, Weakness, Opportunity & Threat) analysis, you convert your weakness into strengths and convert your threat into opportunities.",,,,
,,,,,,1,SWOT analysis,,,,,
,,,,,,,Expert judgment,,,,,
,,,,,,,Checklist analysis,,,,,
,,,,,,,Delphi analysis,,,,,
Radio,RM,0,1,SingleQuestion,Last week your team was performing qualitative risk analysis for your project. As a result the risks identified are grouped by categories. Now you are not able to locate that information. What is the right place for updating that information.?,,,[Qno: PML_388] >> ,,,,
,,,,,,,Risk management plan,,,,,
,,,,,,,Risk file,,,,,
,,,,,,,Risk breakdown structure,,,,,
,,,,,,1,Risk register,,,,,
Radio,SM,0,1,SingleQuestion,Within one week of project scope statement baseline customer comes to and mentions that frozen requirements does not support our newly changed marketing strategy therefore contract need to be amended. After this change is evaluated and you found substantial change in cost and schedule which has been approved by customer. What is your next step?,,,[Qno: PML_396] >> ,,,,
,,,,,,,Cost and Schedule has been approved by the customer therefore do nothing,,,,,
,,,,,,,Update the scope management plan,,,,,
,,,,,,,Update the lessons learned document,,,,,
,,,,,,1,Adjust your baselines as per newly approved cost and schedule.,,,,,
