View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,CM,0,1,SingleQuestion,Jim is assembling the project budget on his large project. Which of the following is a mathematical model that he could use for this purpose?,,,[Qno: PML_104] >> ,,,,
,,,,,,,Parametric Modeling,,,,,
,,,,,,1,Parametric Estimating,,,,,
,,,,,,,Pareto formulas,,,,,
,,,,,,,EVM,,,,,
Radio,CM,0,1,SingleQuestion,"Your team member provided you the estimates of a new project which is very similar to two other completed projects. The first one had a total cost of $20,,000 and other had total cost of $25,000. Team member estimated the new project is at $28,000. This is an example of:",,,[Qno: PML_112] >> ,,,,
,,,,,,,Bottom-up estimating,,,,,
,,,,,,1,Top-down estimating,,,,,
,,,,,,,Rough order of magnitude estimating,,,,,
,,,,,,,Parametric Estimating,,,,,
Radio,CM,0,1,SingleQuestion,Which of the following best describes analog estimating?,,,[Qno: PML_116] >> ,,,,
,,,,,,1,Less accurate,,,,,
,,,,,,,Regression analysis,,,,,
,,,,,,,More accurate,,,,,
,,,,,,,Bottom-up estimating,,,,,
Radio,CM,0,1,SingleQuestion,EVM is part of,,,"[Qno: PML_118] >> PV is planning phase, AC is execution phase, EV, ETC, EAC is monitoring and controlling phase",,,,
,,,,,,,Executing processes,,,,,
,,,,,,,Closing processes,,,,,
,,,,,,,Controlling processes,,,,,
,,,,,,1,Entire project,,,,,
Radio,CM,0,1,SingleQuestion,All of the following are outputs of Determine Budget except:,,,"[Qno: PML_123] >> Output of determine budget process Cost Performance Baseline, Project Funding Requirements, Project Documents Update",,,,
,,,,,,,Project document updates.,,,,,
,,,,,,,Cost performance baseline.,,,,,
,,,,,,,Project funding requirements.,,,,,
,,,,,,1,Organizational process updates.,,,,,
Radio,CM,0,1,SingleQuestion,Earned value (EV) refers to,,,[Qno: PML_135] >> ,,,,
,,,,,,1,"The value of the completed amount of work, expressed in units of currency.",,,,,
,,,,,,,"The value of the planned amount of work, expressed in units of currency.",,,,,
,,,,,,,"The value expected in order to complete planned work, expressed in units of currency.",,,,,
,,,,,,,"The value of planned work, expressed in units of equivalent time.",,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT project with an 5 months duration and a Budget at Completion (BAC) = $500,000. After two months you have following input for your status reporting: PV = $300,000, EV = $250,000, AC = $350,000. What do you report as Percent Complete(PC)?",,,[Qno: PML_151] >> PC = EV / BAC,,,,
,,,,,,1,50%.,,,,,
,,,,,,,23%.,,,,,
,,,,,,,25%.,,,,,
,,,,,,,30%.,,,,,
Radio,CM,0,1,SingleQuestion,You are requested to provide estimates for an implementation project. Which of the following estimating methods will provide the most accurate estimate?,,,[Qno: PML_157] >> Rough order of magnitude: when you have very small detail about the scope. Top-down estimating: when you have high level of details but detail functionality is not clearly defined. Parametric estimating when you know the amount of work and production rate. Bottom-up estimating: when you have detailed requirements with you.,,,,
,,,,,,,Top-down estimating,,,,,
,,,,,,,Parametric estimating,,,,,
,,,,,,,Rough order of magnitude,,,,,
,,,,,,1,Bottom-up estimating,,,,,
Radio,CM,0,1,SingleQuestion,Which is the formula for ETC,,,[Qno: PML_171] >> ,,,,
,,,,,,,EAC-PV,,,,,
,,,,,,1,BAC-EV,,,,,
,,,,,,,EAC-AC,,,,,
,,,,,,,BAC-AC,,,,,
Radio,CM,0,1,SingleQuestion,The cost baseline is usually changed if,,,[Qno: PML_172] >> Best answer: Cost baseline cannot changed if scope change is not approved.,,,,
,,,,,,1,The revision is the result of an approved scope change.,,,,,
,,,,,,,The time baseline has been changed.,,,,,
,,,,,,,A basis for the original cost estimate was false and the project must be re-estimated.,,,,,
,,,,,,,Significant cost deviations have been reported,,,,,
Radio,CM,0,1,SingleQuestion,You decided to buy software testing servers for your IT project on rent. The rent is $500 per month and you need servers only 6 months. What type of cost is this?,,,[Qno: PML_180] >> Every month you need to pay (fixed amount) $760 till the project completes (28 months). It is direction cost to the project. Cost does not fluctuate from month to month.,,,,
,,,,,,,Indirect costs,,,,,
,,,,,,1,Variable costs,,,,,
,,,,,,,Parametric costs,,,,,
,,,,,,,Fixed costs,,,,,
Radio,CM,0,1,SingleQuestion,What are the components of CPI formula,,,"[Qno: PML_184] >> ACWP- Actual cost of work performed (AC), BCWP- Budgeted cost of work performed (EV) are part of CPI",,,,
,,,,,,,"PV, EV",,,,,
,,,,,,,"AC, PV",,,,,
,,,,,,,"AC, BCWS",,,,,
,,,,,,1,"ACWP, BCWP",,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for Xi Inc. After completing your analysis you are recommending a project that costs $300,000. The expected inflows are $5,000 per month in the first year, $6,000 per month in the second year and then $7,000 per month thereafter. What is the payback period?",,,"[Qno: PML_186] >> 5000*12+6000*12+7000*24= $300,000",,,,
,,,,,,,36 months,,,,,
,,,,,,,39 months,,,,,
,,,,,,1,48 months,,,,,
,,,,,,,42 months,,,,,
Radio,CM,0,1,SingleQuestion,Earned value is the measurement of the,,,[Qno: PML_190] >> ,,,,
,,,,,,,Work planned till today,,,,,
,,,,,,1,Work performed till today,,,,,
,,,,,,,Actual spending till today,,,,,
,,,,,,,EAC,,,,,
Radio,CM,0,1,SingleQuestion,Which of the following tells you how much more budget is required to finish the project if everything continues at the current levels of performance?,,,[Qno: PML_195] >> ,,,,
,,,,,,,AC,,,,,
,,,,,,1,ETC at present rate,,,,,
,,,,,,,ETC at budgeted rate,,,,,
,,,,,,,EAC,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT project with an 5 months duration and a Budget at Completion (BAC) = $500,000. After two months you have following input for your status reporting: PV = $300,000, EV = $250,000, AC = $350,000. What do you report as CPI of your project?",,,[Qno: PML_201] >> ,,,,
,,,,,,1,0.71,,,,,
,,,,,,,0.96,,,,,
,,,,,,,1.03,,,,,
,,,,,,,1.05,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT project with an 5 months duration and a Budget at Completion (BAC) = $500,000. After two months you have following input for your status reporting: PV = $300,000, EV = $200,000, AC = $350,000. What do you report as Estimate to Complete (ETC) & Estimate at Completion (EAC)?",,,[Qno: PML_213] >> ,,,,
,,,,,,1,"$525,000, $875,000",,,,,
,,,,,,,"$350,000, $350,000",,,,,
,,,,,,,"$350000, $200,000",,,,,
,,,,,,,"$350,000, $875,000",,,,,
Radio,CM,0,1,SingleQuestion,Project costs are over budget when,,,"[Qno: PML_218] >> CPI <1 means over budget, CPI>1 under budget",,,,
,,,,,,,CPI > 1,,,,,
,,,,,,,CPI < 0,,,,,
,,,,,,,CPI = 1,,,,,
,,,,,,1,CPI < 1,,,,,
Radio,CM,0,1,SingleQuestion,Which of the following is main output of the Determine Budget process?,,,[Qno: PML_225] >> ,,,,
,,,,,,,Risk management plan updates,,,,,
,,,,,,1,Cost performance baseline,,,,,
,,,,,,,Cost estimates,,,,,
,,,,,,,Resource requirements,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT project with an 5 months duration and a Budget at Completion (BAC) = $500,000. After two months you have following input for your status reporting: PV = $300,000, EV = $200,000, AC = $350,000. What do you report as Percent Spent (PS)?",,,[Qno: PML_226] >>  PS= AC / BAC = 350000/500000 = .7,,,,
,,,,,,1, 70%.,,,,,
,,,,,,, 23%.,,,,,
,,,,,,, 25%.,,,,,
,,,,,,, 91%.,,,,,
Radio,CM,0,1,SingleQuestion,"You are a sponsor of a real estate project and your project manager reported you following PV = $200,000, EV = $140,200, AC = $180,00. This tells you what?",,,"[Qno: PML_236] >> CPI= .777, SPI = .7",,,,
,,,,,,1,"Project is over budget, and behind schedule",,,,,
,,,,,,,"Project is over budget, but on time",,,,,
,,,,,,,"Project is under budget, and behind schedule",,,,,
,,,,,,,"Project is under budget, but on time",,,,,
Radio,CM,0,1,SingleQuestion,Which are the elements of PS (percentage spent),,,[Qno: PML_240] >> ,,,,
,,,,,,1,"AC, BAC",,,,,
,,,,,,,"EV, BAC",,,,,
,,,,,,,"PC, BAC",,,,,
,,,,,,,"AV, BAC",,,,,
Radio,CM,0,1,SingleQuestion,Which of the following has influence on bottom-up estimating?,,,[Qno: PML_245] >> ,,,,
,,,,,,1,Complexity and size of the work package,,,,,
,,,,,,,Accuracy of historical information available,,,,,
,,,,,,,Estimating skill of estimator,,,,,
,,,,,,,Stakeholders trust estimating team,,,,,
Radio,CM,0,1,SingleQuestion,Which estimate is not part of 3 point estimate?,,,[Qno: PML_248] >> ,,,,
,,,,,,,Optimistic estimate,,,,,
,,,,,,,Most likely estimate,,,,,
,,,,,,,Pessimistic estimate,,,,,
,,,,,,1,Assumption estimate,,,,,
Radio,CM,0,1,SingleQuestion,What is the formula for  %age complete,,,[Qno: PML_259] >> ,,,,
,,,,,,,AC/BAC,,,,,
,,,,,,,PV/BAC,,,,,
,,,,,,,AV/BAC,,,,,
,,,,,,1,EV/BAC,,,,,
Radio,CM,0,1,SingleQuestion,You are working on a project for which major scope change has occurred due to regulatory requirements. Before these major changes you were doing earn value management. What is the impact of these changes?,,,[Qno: PML_263] >> ,,,,
,,,,,,,EVM should not be used after such an extensive scope change because it will not be effective.,,,,,
,,,,,,1,Update the cost baseline and use the new baseline for further calculations and performance reporting.,,,,,
,,,,,,,Because baseline adjustments is not possible therefore previous data baseline data for EVM reporting.,,,,,
,,,,,,,"Even though baseline adjustments are possible due to any business reasons, but a major change during execution of a project must not be accepted.",,,,,
Radio,CM,0,1,SingleQuestion,"What is the future value of $50,000 invested for 7 years at 12 percent?",,,"[Qno: PML_268] >> FV= Present Value x (1+ rate/100)^years<BR>FV = 50,000 x (1.12) ^ 7",,,,
,,,,,,1,"$110,534 ",,,,,
,,,,,,,"$95,450 ",,,,,
,,,,,,,"$99,450 ",,,,,
,,,,,,,"$100,064 ",,,,,
Radio,CM,0,1,SingleQuestion,You are the project manager for a construction project. You use parametric modeling in your cost estimating for the project. Which one of the following is an example of parametric modeling?,,,[Qno: PML_287] >> ,,,,
,,,,,,1,$250 sq meter,,,,,
,,,,,,,Historical information from a similar project.,,,,,
,,,,,,,Estimates build bottom-up based on the WBS.,,,,,
,,,,,,,Estimates based on top-down budgeting.,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT Project with an 8 months duration and a Budget at Completion (BAC) = $500,000. After four months you have following input for your status reporting: PV = $300,000, EV = $250,000, AC = $310,000. What do you report as Schedule Performance Index (SPI)?",,,[Qno: PML_293] >> ,,,,
,,,,,,,0.81,,,,,
,,,,,,,0.91,,,,,
