View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,FW,0,1,SingleQuestion,What is the logical order of the 5 Process Groups?,,,[Qno: PML_148] >> ,,,,
,,,,,,,"Planning, Initiating, Executing, Monitoring and Controlling, Closing.",,,,,
,,,,,,,"Initiating, Planning, Monitoring and Controlling, Executing, Closing.",,,,,
,,,,,,,"Initiating, Executing, Planning, Monitoring and Controlling, Closing.",,,,,
,,,,,,1,"Initiating, Planning, Executing, Monitoring and Controlling, Closing.",,,,,
Radio,FW,0,1,SingleQuestion,Lee is the project manager and during the recent project review it was decided to allow subsequent project phases to begin before the predecessor phase is complete. This is called-----,,,[Qno: PML_177] >> ,,,,
,,,,,,1,Fast tracking,,,,,
,,,,,,,Risk mitigation,,,,,
,,,,,,,Crashing,,,,,
,,,,,,,Lead-Lag,,,,,
Radio,FW,0,1,SingleQuestion,The amount of authority a project manager possesses depends upon,,,[Qno: PML_209] >> ,,,,
,,,,,,1,The organizational structure.,,,,,
,,,,,,,Type of the project,,,,,
,,,,,,,Key stakeholder&rsquo;s influence on the project.,,,,,
,,,,,,,The project manager&rsquo;s communication skills.,,,,,
Radio,FW,0,1,SingleQuestion,You are the project manager in an organization with a weak matrix. Who will have the authority on your project?,,,[Qno: PML_229] >> ,,,,
,,,,,,1,Functional management,,,,,
,,,,,,,The customer,,,,,
,,,,,,,The project manager,,,,,
,,,,,,,The team leader,,,,,
Radio,FW,0,1,SingleQuestion,You are assigned as project manager to a new project. To help yourself to understand the environment quickly you will asked for which information?,,,[Qno: PML_433] >> ,,,,
,,,,,,,Industry standards,,,,,
,,,,,,1,Historical information,,,,,
,,,,,,,Government regulations,,,,,
,,,,,,,Organization structure,,,,,
Radio,FW,0,1,SingleQuestion,"Four constraints of a project are time, cost, scope and risk. What is the fifth constraint?",,,[Qno: PML_519] >> Resource is related to skill required to complete the work.,,,,
,,,,,,,Money,,,,,
,,,,,,1,Resource,,,,,
,,,,,,,Infrastructure,,,,,
,,,,,,,Capability,,,,,
Radio,FW,0,1,SingleQuestion,"In project initiating process group, which statement describes best handling of the assumptions",,,"[Qno: PML_538] >> PMBOK(r) Guide 4th Edition, pages 77 and 78 (outputs of process Develop project charter).",,,,
,,,,,,,"It is the responsibility of the presales person, so don&rsquo;t bother about it",,,,,
,,,,,,,Managing and organizing assumptions means avoiding risks right from the start of the project.,,,,,
,,,,,,1,"Organizational, environmental and external assumptions should be addressed in the project charter.",,,,,
,,,,,,,Assumptions are sign for risk which will come when project will be executed. So you can wait till risk planning phase start.,,,,,
Radio,FW,0,1,SingleQuestion,"In the context of progressive elaboration of project scope, which statement is not appropriate",,,"[Qno: PML_618] >> PMBOK(r) Guide 4th Edition, page 7.",,,,
,,,,,,,It is a characteristic of projects that accompanies the concepts of temporary and unique.,,,,,
,,,,,,,It means developing in steps. It not should be confused with scope creep.,,,,,
,,,,,,1,"It signals a weak spot in the scope definition process, caused by incomplete contracts and specifications.",,,,,
,,,,,,,"If managed properly, it integrates elaboration of project and deliverable specifications.",,,,,
Radio,FW,0,1,SingleQuestion,When identifying the basis of the business need for a project all of the following can be considered except,,,[Qno: PML_621] >> Regular plant maintenance is operational activity.,,,,
,,,,,,1,Regular plant maintenance.,,,,,
,,,,,,,Market demands.,,,,,
,,,,,,,Technological advances.,,,,,
,,,,,,,Legal requirements.,,,,,
Radio,FW,0,1,SingleQuestion,You are using a Phase gate approach for your project. What do you need to consider?,,,"[Qno: PML_637] >> PMBOK(r) Guide 4th Edition, page 19",,,,
,,,,,,,"Gates are often called kill points, when they are used to eliminate weak team members.",,,,,
,,,,,,,Phase gates are often used to verify entry criteria of a previous phase and exit criteria of the next one.,,,,,
,,,,,,1,The order of phases must be strictly consecutive without overlapping in order to allow for gates.,,,,,
,,,,,,,If phase gate is approaching fast then it is a sign of poor planning,,,,,
Radio,FW,0,1,SingleQuestion,Which of these is not a valid knowledge area as per PMI?,,,[Qno: PML_761] >> Stakeholder Management is not a valid Knowledge Area.,,,,
,,,,,,1,Stakeholder Management.,,,,,
,,,,,,,Integration Management.,,,,,
,,,,,,,Risk Management.,,,,,
,,,,,,,Procurement Management,,,,,
Radio,FW,0,1,SingleQuestion,"Which organization , the project manager has total control of projects?",,,[Qno: PML_791] >> Projectized organization : The project manager has total control of projects. People are assigned and report to a project manager.,,,,
,,,,,,,Balanced Matrix organization,,,,,
,,,,,,1,Projectized organization,,,,,
,,,,,,,Strong Matrix,,,,,
,,,,,,,Weak Matrix organization,,,,,
Radio,FW,0,1,SingleQuestion,Which is not correct about initial phase of a project?,,,[Qno: PML_955] >> Because not many resources committed at this stage there is lease cost associated in this phase.,,,,
,,,,,,,Stake holders have maximum influence during this phase,,,,,
,,,,,,,The highest uncertainty is at this stage of the project.,,,,,
,,,,,,1,The cost associated at the initial phase of the project is highest.,,,,,
,,,,,,,All of the above,,,,,
Radio,FW,0,1,SingleQuestion,You are working on internal projects for your company. You are into requirement definition for new automation system that will enable employees to work from home. Management does not want to outsource this project and your team has been assigned to some high value external project. What is true?,,,[Qno: PML_1033] >> ,,,,
,,,,,,,The project ended due because of management support,,,,,
,,,,,,,The project ended due to starvation of funds,,,,,
,,,,,,1,The project ended due to change of organizational priority,,,,,
,,,,,,,The project ended due to integration issues,,,,,
Radio,FW,0,1,SingleQuestion,Which of the following is NOT true,,,[Qno: PML_1071] >> ,,,,
,,,,,,,Project phases are marked by completion of one or more deliverables,,,,,
,,,,,,,The project life cycle serves to define the beginning and end of a project,,,,,
