View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,QM,0,1,SingleQuestion,Which of the following is not a cost of quality?,,,[Qno: PML_117] >> ,,,,
,,,,,,,Rework,,,,,
,,,,,,,Change requests,,,,,
,,,,,,,Fixing software bugs.,,,,,
,,,,,,1,Deferring change requests,,,,,
Radio,QM,0,1,SingleQuestion,Which of the following is not an input to Perform Quality Control?,,,[Qno: PML_132] >> Scatter Diagram are tool & technique,,,,
,,,,,,1,Scatter diagram,,,,,
,,,,,,,Deliverables,,,,,
,,,,,,,Project management plan,,,,,
,,,,,,,Quality checklist,,,,,
Radio,QM,0,1,SingleQuestion,The concept of quality management based on a repeated plan-do-check-act cycle was first advocated by,,,[Qno: PML_146] >> ,,,,
,,,,,,,Kaoru Ishikawa,,,,,
,,,,,,,Joseph Juran,,,,,
,,,,,,,W. Edwards Deming,,,,,
,,,,,,1,Walter Stewarts,,,,,
Radio,QM,0,1,SingleQuestion,One of the fundamental tenets of quality management is:,,,[Qno: PML_166] >> ,,,,
,,,,,,1,"Quality is planned, designed, and build-in. It is not inspected in.",,,,,
,,,,,,,Quality is planned and inspected in.,,,,,
,,,,,,,Quality incurs cost and management must think before committing,,,,,
,,,,,,,Quality requires constant inspection.,,,,,
Radio,QM,0,1,SingleQuestion,Quality experts says that cost of Nonconformance defined as -----,,,[Qno: PML_169] >> ,,,,
,,,,,,1,Money spent during and after the project because of failures.,,,,,
,,,,,,,Money spent before the project starts to identify quality measurements.,,,,,
,,,,,,,Money spent during the project to avoid failures.,,,,,
,,,,,,,Money spent after the project is completed to correct failures.,,,,,
Radio,QM,0,1,SingleQuestion,A vertical bar chart showing how often a particular variable state occurred is called:,,,[Qno: PML_173] >> ,,,,
,,,,,,,Run chart,,,,,
,,,,,,,Scatter diagram,,,,,
,,,,,,,Statistical sampling,,,,,
,,,,,,1,Histogram,,,,,
Radio,QM,0,1,SingleQuestion,A control chart has all of the following characteristics except:,,,[Qno: PML_221] >> ,,,,
,,,,,,,Used to monitor output variable,,,,,
,,,,,,,Shows process behavior,,,,,
,,,,,,,Determines how stable a process is,,,,,
,,,,,,1,Determines linking between potential problem factors,,,,,
Radio,QM,0,1,SingleQuestion,You have recently been assigned as Project Manager into a large project. You are looking for a name of document which describes how the project management team will implement the quality policy of the performing organization. Which is that document?,,,[Qno: PML_238] >> ,,,,
,,,,,,,Quality assurance plan,,,,,
,,,,,,,Quality control plan,,,,,
,,,,,,,Quality audit report,,,,,
,,,,,,1,Quality management plan,,,,,
Radio,QM,0,1,SingleQuestion,The company-wide policy that mandates project quality is called ________.,,,[Qno: PML_280] >> ,,,,
,,,,,,,Quality control,,,,,
,,,,,,,ISO 9000,,,,,
,,,,,,1,Quality policy,,,,,
,,,,,,,Quality planning,,,,,
Radio,QM,0,1,SingleQuestion,Quality Audits are,,,[Qno: PML_285] >> ,,,,
,,,,,,,"not required, if you have experienced and skill people on project",,,,,
,,,,,,,"not required, if you do not find any defect in project&rsquo;s product since last 6 month.",,,,,
,,,,,,1,necessary for validation that the quality policy is being followed and adhered to.,,,,,
,,,,,,,expensive and therefore cost benefit analysis must be done for do / no-do decision.,,,,,
Radio,QM,0,1,SingleQuestion,An Ishikawa or fishbone diagram is also known as a,,,[Qno: PML_294] >> ,,,,
,,,,,,,Process flow diagram,,,,,
,,,,,,,Workflow diagram,,,,,
,,,,,,1,Cause-and-effect diagram,,,,,
,,,,,,,Input/output diagram,,,,,
Radio,QM,0,1,SingleQuestion,"In quality terms: training, documenting processes, equipment, and time to do it right is known as which of the following?",,,[Qno: PML_314] >> ,,,,
,,,,,,,Appraisal costs,,,,,
,,,,,,,Internal failure costs,,,,,
,,,,,,,Cost of non-conformance,,,,,
,,,,,,1,Prevention costs,,,,,
Radio,QM,0,1,SingleQuestion,Quality policy statement-----,,,[Qno: PML_318] >> ,,,,
,,,,,,1,Promotes consistency throughout the organization and across projects.,,,,,
,,,,,,,States what not to be done not why,,,,,
,,,,,,,Determines how stakeholders view the quality in organization,,,,,
,,,,,,,Provides provisions for changing the policy only on a yearly basis.,,,,,
Radio,QM,0,1,SingleQuestion,The process of auditing the quality requirements and the results from quality control measurements to ensure appropriate quality standards and operational definitions are used is called?,,,"[Qno: PML_329] >> PMBoK, p-57",,,,
,,,,,,1,Perform Quality Assurance,,,,,
,,,,,,,Analyze Quality Results,,,,,
,,,,,,,Perform Quality Audits,,,,,
,,,,,,,Perform Quality Control,,,,,
Radio,QM,0,1,SingleQuestion,Project Quality Management knowledge area takes care of?,,,[Qno: PML_369] >> ,,,,
,,,,,,1,The project and the product.,,,,,
,,,,,,,The project management.,,,,,
,,,,,,,The product design.,,,,,
,,,,,,,The project manager and the project team.,,,,,
Radio,QM,0,1,SingleQuestion,A project management team is evaluating the causes that might contribute to unsatisfactory performance and quality. Which of the following statements is not true?,,,[Qno: PML_469] >> Special causes are difficult to identify compare to common causes.,,,,
,,,,,,,"Normal process variation is attributable to random causes and sometimes also called ""white noise"".",,,,,
,,,,,,,Special causes are unusual events which are difficult to foresee and mostly produce outliers.,,,,,
,,,,,,,A process can be optimized to limit the bandwidth of variations due to random causes.,,,,,
,,,,,,1,Special causes are easier to predict and handle than random causes (also called common causes).,,,,,
Radio,QM,0,1,SingleQuestion,In you project you are using control charts to identify outliers. An outlier is ---,,,[Qno: PML_667] >> Control charts are used to plot the data points and watch the variation from mean and know how much is within control limits.,,,,
,,,,,,,Typical result of a rare random cause which is difficult to replicate and to verify.,,,,,
,,,,,,,"Insignificant results like measurement errors, the causes of which should not be further investigated.",,,,,
,,,,,,,Measurements of inconsistent with a run of 7 results over or under a mean value.,,,,,
,,,,,,1,Measurements outside the bandwidth between an upper and lower control limit.,,,,,
Radio,QM,0,1,SingleQuestion,In your project you are sequencing activities you will all the tools except.,,,[Qno: PML_907] >> Rolling wave planning is a technique for Define Activities. Other options are technique for Sequence Activities.,,,,
,,,,,,,Mandatory Dependencies,,,,,
,,,,,,,Arrow Diagramming Method [ADM,,,,,
,,,,,,,Precedence Diagramming Method [PDM],,,,,
,,,,,,1,Rolling Wave Planning,,,,,
Radio,QM,0,1,SingleQuestion,Process analysis is part of ---,,,[Qno: PML_956] >> Process Improvement Plan (PIP) also outlines the steps which need to done for process analysis. Apart from that PIP also suggest how to align the variance in any process with project and organizational objectives.,,,,
,,,,,,,Quality Improvement Plan,,,,,
,,,,,,,Quality Metrics,,,,,
,,,,,,,Performance Analysis,,,,,
,,,,,,1,Process Improvement Plan,,,,,
Radio,QM,0,1,SingleQuestion,Trend Analysis is performed using ______.,,,[Qno: PML_958] >> Trend Analysis are performed using run chart and this involves forecasting the future trend based on past performance.,,,,
,,,,,,1,Run Chart,,,,,
,,,,,,,Scatter Diagram,,,,,
,,,,,,,Pareto Chart,,,,,
,,,,,,,Control Charts,,,,,
Radio,QM,0,1,SingleQuestion,A Pareto diagram can be best described as:,,,[Qno: PML_959] >> Pareto diagram mainly helps the project management team to address maximum issues with minimum efforts,,,,
,,,,,,1,Histogram,,,,,
,,,,,,,Control Chart,,,,,
,,,,,,,Scatter Chart,,,,,
,,,,,,,Cause and Effect Diagram,,,,,
Radio,QM,0,1,SingleQuestion,Which of the following is true about accuracy and precision?,,,"[Qno: PML_1004] >> Accuracy means that measured value is very close to the True value. Precision means the value of repeated measurement have very little scatter. PMBOK(r) Guide 4th Edition Page190<BR>

Speed of the printer is 50 pages per minute but our measurement shows that it is 49.5 pages per minute. Some times printer prints 40 PPM sometimes it prints 60 PPM although the average is 49.5 which is very near to acclaimed speed (high accuracy) but data is scattered and precision is very wide (low precision)",,,,
,,,,,,,Precision is correctness and accuracy is consistency,,,,,
,,,,,,1,Precision is consistency and accuracy is correctness,,,,,
,,,,,,,Precision and accuracy are same,,,,,
,,,,,,,Precision is used for measuring length and accuracy is used for time measurements,,,,,
Radio,QM,0,1,SingleQuestion,Which of the following statements is false,,,[Qno: PML_1016] >> ,,,,
,,,,,,,Quality control is primarily concerned with meeting the quality requirements specified for the deliverables,,,,,
,,,,,,,Scope Verification is primarily concerned with Acceptance of the deliverables,,,,,
,,,,,,,Quality control is generally performed before Scope Verification,,,,,
,,,,,,1,"If the project is terminated early, the scope verification is not necessary.",,,,,
Radio,QM,0,1,SingleQuestion,You are in charge of laser printer manufacturing Company. You have recently launched a new laser printer and you observed some over-heating in the hangs the printer and bad impact on printing quality also. You have decided to conduct a root cause analysis and to determine the exact reason for this and suggest action that could prevent the this type of occurrence in new batch. What did you here?,,,[Qno: PML_1077] >> ,,,,
,,,,,,,Using the quality audit technique,,,,,
,,,,,,,Using Quality control tool and technique,,,,,
,,,,,,,Using the root cause identification technique,,,,,
,,,,,,1,Using process analysis technique of QA,,,,,
Radio,QM,0,1,SingleQuestion,You received an audit report from your quality audit team. This report has identified that few critical process are out of control. After this you call your project team to discuss the course of action. What describe the situation best,,,"[Qno: PML_1348] >> Out-of-control situations are identified as a part of Perform Quality Assurance, and change request goes as an corrective action input to Quality Control process. PMBOK(r) Guide 4th Edition, p. 206",,,,
,,,,,,,You would be performing quality assurance actions,,,,,
,,,,,,,Perform quality control and revalidate the out of control process,,,,,
,,,,,,,"You are performing quality assurance activities, analyzing cause of variation and identifying change requests required",,,,,
,,,,,,1,"You would be performing quality control activities, analyzing cause of variation and identifying change requests required",,,,,
Radio,QM,0,1,SingleQuestion,To know about the stability of a process you use statistical process control chart with UCL & LCL. What is standard UCL/LCL limit in the control chart.?,,,"[Qno: PML_1379] >>  The SPC chart sets upper and lower control limits at +/- 3 sigma. PMBOK(r) Guide 4th Edition, p. 196",,,,
,,,,,,1, +/- 3 Sigma,,,,,
,,,,,,, +/- 2 sigma,,,,,
,,,,,,, +/- 6 sigma ,,,,,
,,,,,,, +/- 1 sigma,,,,,
Radio,QM,0,1,SingleQuestion,Quality policies and standards are established in,,,"[Qno: PML_1404] >>  Quality policies and standards are established in the Plan Quality process. PMBOK(r) Guide 4th Edition, pp. 192-194",,,,
,,,,,,, Perform quality control ,,,,,
,,,,,,, Perform quality assurance,,,,,
,,,,,,, Monitoring and controlling process group,,,,,
,,,,,,1, Plan quality,,,,,
Radio,QM,0,1,SingleQuestion,The project team has collected a series of issues and ranked them by frequency for process improvement. What tool or technique is used to plot data in ranked order?,,,"[Qno: PML_1537] >> Pareto chart is used to plot the ranked data. PMBOK(r) Guide 4th Edition, p 210-211",,,,
,,,,,,, Ishikawa diagram,,,,,
,,,,,,1, Pareto chart ,,,,,
,,,,,,, Scatter diagram,,,,,
,,,,,,, Statistical sampling,,,,,
Radio,QM,0,1,SingleQuestion,"Strategic plans related to quality of project, types of project organization should undertake is under the purview of",,,[Qno: PML_1610] >> ,,,,
,,,,,,,Project manager,,,,,
,,,,,,,Procurement manager,,,,,
,,,,,,1,Top Management,,,,,
,,,,,,,Stakeholders,,,,,
Radio,QM,0,1,SingleQuestion,One of the critical factors in implementing the quality plan is,,,[Qno: PML_1612] >> ,,,,
,,,,,,1,Implement quality improvements as long as the benefits more than the cost of implementation,,,,,
,,,,,,,Invoice the client for all quality related activities,,,,,
,,,,,,,Implement the highest possible quality possible regardless of time it takes,,,,,
