View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,TM,0,1,SingleQuestion,The most common type of dependency relationship is?,,,[Qno: PML_101] >> ,,,,
,,,,,,,Start-Start,,,,,
,,,,,,,Start-Finish,,,,,
,,,,,,1,Finish-Start,,,,,
,,,,,,,Finish-Finish,,,,,
Radio,TM,0,1,SingleQuestion,Your quality department told you that 25th of this month is external audit therefore all the project document should be ready by that time and you should be available for interview on that day. What did they informed you?,,,[Qno: PML_105] >> ,,,,
,,,,,,,Milestone,,,,,
,,,,,,1,Deadline,,,,,
,,,,,,,Constraint,,,,,
,,,,,,,Risk,,,,,
Radio,TM,0,1,SingleQuestion,Which of the following techniques is used to control the project schedule?,,,[Qno: PML_107] >> ,,,,
,,,,,,,Control Chart,,,,,
,,,,,,1,Variance Analysis,,,,,
,,,,,,,Statistical sampling.,,,,,
,,,,,,,Parametric modeling.,,,,,
Radio,TM,0,1,SingleQuestion,"Based on the analysis of recent project report, your PMO suggested you that you should fast track your project for next two releases. What is the purpose of this activity?",,,[Qno: PML_161] >> ,,,,
,,,,,,,Reduce the project risk.,,,,,
,,,,,,1,Reduce project duration.,,,,,
,,,,,,,Increase productivity.,,,,,
,,,,,,,Increase quality.,,,,,
Radio,TM,0,1,SingleQuestion,You are project management for an yearly event. You have gathered the inputs for the Estimate Activity Duration process. Which of the following tools and techniques will you employ to produce the outputs for this process?,,,[Qno: PML_183] >> Activity list is I/O. There is not tool by name quantitatively based durations.,,,,
,,,,,,1,"Expert judgment, analogous estimating, parametric estimating, three-point estimates, and reserve analysis.",,,,,
,,,,,,,"Activity list, analogous estimating, three-point based durations, and alternatives identification.",,,,,
,,,,,,,"Activity list, analogous estimating, expert judgment, and reserve analysis.",,,,,
,,,,,,,"Expert judgment, alternatives identification, quantitatively based durations, and reserve analysis.",,,,,
Radio,TM,0,1,SingleQuestion,Network templates which contain only portions of a network are often referred to as,,,[Qno: PML_514] >> ,,,,
,,,,,,,Subprojects,,,,,
,,,,,,,Project Schedule,,,,,
,,,,,,1,Subnetworks,,,,,
,,,,,,,WBS items,,,,,
Radio,TM,0,1,SingleQuestion,What is typical for Critical chain project management?,,,"[Qno: PML_546] >> PMBOK(r) Guide 4th Edition, page 155.",,,,
,,,,,,,Management of total floats and free floats,,,,,
,,,,,,1,Management of buffers,,,,,
,,,,,,,Management of leads and lags,,,,,
,,,,,,,Management of resource over-allocations,,,,,
Radio,TM,0,1,SingleQuestion,Crashing involves,,,"[Qno: PML_579] >> PMBOK(r) Guide 4th Edition, page 431.",,,,
,,,,,,,Overlapping activities which were originally planned to be done in sequence.,,,,,
,,,,,,,Reducing the number of features of the product in order to reduce development work.,,,,,
,,,,,,1,Reallocating existing resources or assigning additional resources to the project.,,,,,
,,,,,,,Reducing the duration estimates for activities to increase the pressure applied to the staff.,,,,,
Radio,TM,0,1,SingleQuestion,You are defining activities. Which of the following is not a result of this process?,,,"[Qno: PML_631] >> PMBOK(r) Guide 4th Edition, page 133.",,,,
,,,,,,,Activity list,,,,,
,,,,,,,Activity attributes,,,,,
,,,,,,,Milestone list,,,,,
,,,,,,1,Work breakdown structure,,,,,
Radio,TM,0,1,SingleQuestion,Dummy relationships or dummy activities concept is related to ,,,[Qno: PML_905] >> ,,,,
,,,,,,,Precedence Diagramming Method [PDM],,,,,
,,,,,,1,Activity on Arrow (AOA),,,,,
,,,,,,,Fragment Network,,,,,
,,,,,,,Activity on Node (AON),,,,,
Radio,TM,0,1,SingleQuestion,Which is a technique for Define Activities?,,,[Qno: PML_908] >> Rolling wave planning is a technique for Define Activities. Other tool & techniques are for Sequence Activities.,,,,
,,,,,,,Mandatory Dependencies,,,,,
,,,,,,,Arrow Diagramming Method [ADM,,,,,
,,,,,,1,Rolling Wave Planning,,,,,
,,,,,,,Precedence Diagramming Method [PDM],,,,,
Radio,TM,0,1,SingleQuestion,Identification of Mandatory Dependencies is done during which process:,,,[Qno: PML_914] >> In sequence activities you identify and document interactivity and logical relationships,,,,
,,,,,,,Develop Schedule,,,,,
,,,,,,,Define Activities,,,,,
,,,,,,1,Sequence Activities,,,,,
,,,,,,,Estimate Activity Durations,,,,,
Radio,TM,0,1,SingleQuestion,Which is not an activity attribute:,,,[Qno: PML_951] >> Activity attributes are input for Develop Schedule process. The scheduling information is not a part of the activity attribute.,,,,
,,,,,,,Location where to perform the activity,,,,,
,,,,,,1,Time when to perform the activity,,,,,
,,,,,,,Leads and Lags,,,,,
,,,,,,,Person responsible for the activity,,,,,
Radio,TM,0,1,SingleQuestion,The amount of time a task can be delayed without delaying the project completion date is called,,,[Qno: PML_1094] >> ,,,,
,,,,,,,Free Slack,,,,,
,,,,,,,Project Slack,,,,,
,,,,,,1,Total Slack,,,,,
,,,,,,,Project Lag,,,,,
Radio,TM,0,1,SingleQuestion,Who should developed the activity duration estimates?,,,[Qno: PML_1720] >> ,,,,
,,,,,,, The project manager,,,,,
,,,,,,1, The person or team doing the work. ,,,,,
,,,,,,, Senior management. ,,,,,
,,,,,,, The customer.,,,,,
Radio,TM,0,1,SingleQuestion,The smallest unit of time used in scheduling the project is known as:,,,[Qno: PML_1881] >> ,,,,
,,,,,,,Scope unit,,,,,
,,,,,,,Time Measurement,,,,,
,,,,,,1,Calendar Unit,,,,,
,,,,,,,All of the Above,,,,,
Radio,TM,0,1,SingleQuestion,Which of the following is a tool used in Activity Duration Estimating:,,,[Qno: PML_1975] >> ,,,,
,,,,,,,Work Breakdown Structure Templates,,,,,
,,,,,,1,Analogous Estimating,,,,,
,,,,,,,Critical Path Method,,,,,
,,,,,,,Schedule Network Templates,,,,,
Radio,TM,0,1,SingleQuestion,What is the name of the input to Develop schedule process which has details like what kind of resource is required to complete the activity.,,,[Qno: PML_2022] >> ,,,,
,,,,,,,Activity Resource Estimate,,,,,
,,,,,,,Estimate Resource Activity,,,,,
,,,,,,,Resource pool description,,,,,
,,,,,,1,Activity Resource requirements,,,,,
Radio,TM,0,1,SingleQuestion,What should be the duration of milestone,,,[Qno: PML_2076] >> ,,,,
,,,,,,,Duration equal to the phase duration,,,,,
,,,,,,,Duration equal to the time required for a particular task to be completed,,,,,
,,,,,,1,Zero,,,,,
,,,,,,,Duration of the complete project till the milestone date,,,,,
Radio,TM,0,1,SingleQuestion,Network diagram is better than bar chart when,,,[Qno: PML_2372] >> ,,,,
,,,,,,,Doing analysis of schedule progress,,,,,
,,,,,,1,Showing inter dependencies between activities,,,,,
,,,,,,,Analyzing WBS,,,,,
,,,,,,,Analyzing project plan,,,,,
Radio,TM,0,1,SingleQuestion,An activity which is in critical path is delayed. What should you do ?,,,[Qno: PML_2376] >> ,,,,
,,,,,,,Negotiate scope to adjust the delay,,,,,
,,,,,,,Inform customer about delay,,,,,
,,,,,,1,Compress the schedule to adjust the delay,,,,,
,,,,,,,Deliver uncompleted activity,,,,,
Radio,TM,0,1,SingleQuestion,A project has three critical path. How this affects the project ?,,,[Qno: PML_2377] >> ,,,,
,,,,,,,It need more resources.,,,,,
,,,,,,1,It increased project risk.,,,,,
,,,,,,,It need more time.,,,,,
,,,,,,,It is not possible,,,,,
Radio,TM,0,1,SingleQuestion,"On your project you have identified activities to be done, and sequenced internal activities. Now which process you should employ to define the external dependencies.",,,[Qno: PML_2382] >> ,,,,
,,,,,,1,Sequence Activities,,,,,
,,,,,,,Define Activities,,,,,
,,,,,,,Develop Schedule,,,,,
,,,,,,,Control Schedule,,,,,
Radio,TM,0,1,SingleQuestion,Activity Resource Requirements is an input to which process,,,"[Qno: PML_2467] >> PMBOK(r) Guide 4th Edition, page 146",,,,
,,,,,,,Control Schedule,,,,,
,,,,,,1,Estimate Activity Durations,,,,,
,,,,,,,Sequence Activities,,,,,
,,,,,,,Estimate Activity Resources,,,,,
Radio,TM,0,1,SingleQuestion,"Scope baseline, Enterprise environmental factors, Organizational process assets are inputs to which process",,,[Qno: PML_2539] >> ,,,,
,,,,,,,Sequence Activities,,,,,
,,,,,,,Estimate Activity Resources,,,,,
,,,,,,1,Define Activities,,,,,
,,,,,,,Estimate Activity Durations,,,,,
Radio,TM,0,1,SingleQuestion,"In Project Time Management, Project documents updates is an output of all processes, except.",,,"[Qno: PML_2547] >> Output of Define Activities Process are Activity List, Activity Attributes, Milestone List",,,,
,,,,,,,Sequence Activities,,,,,
,,,,,,,Develop Schedule,,,,,
,,,,,,1,Define Activities,,,,,
,,,,,,,Control Schedule,,,,,
Radio,TM,0,1,SingleQuestion,Crashing does not involves,,,[Qno: PML_2802] >> ,,,,
,,,,,,,Fast-tracking,,,,,
,,,,,,,Resource Leveling,,,,,
,,,,,,,Putting More Resource,,,,,
,,,,,,1,Reducing Features,,,,,
Radio,TM,0,1,SingleQuestion,Which is not related to critical chain,,,[Qno: PML_2803] >> ,,,,
,,,,,,,Project Buffer,,,,,
,,,,,,,Resource Buffer,,,,,
,,,,,,,Feeding Buffer,,,,,
,,,,,,1,Management Buffer,,,,,
Radio,TM,0,1,SingleQuestion,Project Buffer is,,,[Qno: PML_2804] >> ,,,,
,,,,,,1,Added at the end of critical chain,,,,,
,,,,,,,Added at the end of critical phase,,,,,
,,,,,,,Associated with Critical resource,,,,,
,,,,,,,Is not related to Critical Chain Method,,,,,
Radio,TM,0,1,SingleQuestion,Resource Buffer concept is,,,[Qno: PML_2805] >> ,,,,
,,,,,,1,Resources are available and they are start working on activity after informed by dependent activity resources,,,,,
,,,,,,,Resources are busy they cannot be taken away from existing assignments,,,,,
,,,,,,,Keep buffer resources always on project,,,,,
,,,,,,,Add resource buffer for each activity,,,,,
Radio,TM,0,1,SingleQuestion,How do you manage a network path so that non-critical path does not become critical,,,[Qno: PML_2806] >> ,,,,
,,,,,,1,Add feeding buffer on non-critical path activities,,,,,
,,,,,,,Must finish non-critical activities on time assigned by project manager,,,,,
,,,,,,,Add resource buffer on non-critical path activities,,,,,
,,,,,,,Critical path is fix and it never changes,,,,,
Radio,TM,0,1,SingleQuestion,The amount of time a task can be delayed without delaying the start date of immediate next activity is called,,,,,,,
,,,,,,1,Free Slack,,,,,
,,,,,,,Project Slack,,,,,
,,,,,,,Total Slack,,,,,
,,,,,,,Project Lag,[Qno: PML_100] >> ,,,,
Radio,TM,0,1,SingleQuestion,"You applied three-point estimation on a Critical path which consists of three activities. The following duration uncertainties are all calculated assuming a ±3sigma Confidence interval. The duration uncertainty estimates of the first activity is 10 days; the second activity&rsquo;s duration uncertainty estimates is 15 days and the same of third activities is 18 days. Applying the PERT formula for paths, what is the duration uncertainty of the entire path? ",,,[Qno: PML_2817] >> Entire Path Duration Uncertainty Estimate = Square root of  sum of square of all uncertainty estimates = SQRT(10^2 + 15^2 +18^2)= SQRT(649) = 25.49,,,,
,,,,,,1,Approx 25 days,,,,,
,,,,,,,Approx 35 days,,,,,
,,,,,,,Approx 40 Days,,,,,
,,,,,,,Approx 45 Days,,,,,
Radio,TM,0,1,SingleQuestion,Expert Judgement is NOT a tool in which Time Management knowledge area process,,,"[Qno: PML_2890] >> Time management knowledge area process Sequence Activities, Develop Schedule, Control Schedule does not uses Expert Judgment as tool.",,,,
