View,Category,Randomize,Score,Type,Question,Correct,Answers,Note
Radio,P_SM,0,1,SingleQuestion,You are managing an IT project and one of the stakeholder asks you that why you consider the scope statement so important in your project management methodology. You answer to this question is..,,,[Qno: PML_119] >> 
,,,,,,1,The project scope serves as a reference for all future project decisions.,
,,,,,,,Project managers must document any changes before approving or declining them.,
,,,,,,,It is mandatory to consult the plan before authorizing any change.,
,,,,,,,The project plan and EVM work together to assess the risk involved with proposed changes.,
Radio,M_CM,0,1,SingleQuestion,Earned value (EV) refers to,,,[Qno: PML_135] >> 
,,,,,,1,"The value of the completed amount of work, expressed in units of currency.",
,,,,,,,"The value of the planned amount of work, expressed in units of currency.",
,,,,,,,"The value expected in order to complete planned work, expressed in units of currency.",
,,,,,,,"The value of planned work, expressed in units of equivalent time.",
Radio,P_TM,0,1,SingleQuestion,How do you define hard logic?,,,[Qno: PML_150] >> Mandatory Dependency or Hard Logic is natural dependency and that cannot be changed. Like document cannot be reviewed without it is developed.
,,,,,,,External dependencies,
,,,,,,,Discretionary dependencies,
,,,,,,,Preferred dependencies,
,,,,,,1,Mandatory dependencies,
Radio,M_QM,0,1,SingleQuestion,"Activities done repeatedly over a period of time will become more efficient, quality of output increases and will be found to be less demanding by the performing people. This is known as the ___________.",,,[Qno: PML_205] >> 
,,,,,,,Continuous Improvement Theory,
,,,,,,,Six-Sigma Theory,
,,,,,,,Basic Improvement Theory,
,,,,,,1,Learning Curve Theory,
Radio,P_QM,0,1,SingleQuestion,The theory that 85 percent of the cost of quality is a management problem is attributed to which of the following?,,,[Qno: PML_347] >> Deming told Ford that management actions were responsible for 85% of all problems in developing better cars
,,,,,,,Kaizen,
,,,,,,,Juran,
,,,,,,1,Deming,
,,,,,,,Crosby,
Radio,P_QM,0,1,SingleQuestion,You are working on a project and you realise that some services need to be received from outside because your company does not have that competency. Therefore you outsourced the service to a vendor. What is the best choice among below to assure the high quality service from this vendor?,,,[Qno: PML_460] >> 
,,,,,,,Deliverable inspection,
,,,,,,,Fixed price contract,
,,,,,,1,Quality audit,
,,,,,,,Service level agreement,
