View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,HM,0,1,SingleQuestion,"What is the name of the database that contains information on skill, competencies, previous experience, personal interest and availability of resources which can be assigned to a project.",,,[Qno: PML_103] >> ,,,,
,,,,,,,The Availability Matrix.,,,,,
,,,,,,,Human Resources.,,,,,
,,,,,,,Staff Breakdown structure.,,,,,
,,,,,,1,Staffing Pool Description.,,,,,
Radio,HM,0,1,SingleQuestion,"You recently join a new organization and has been assigned to a high visibility project because of previous success in similar kind of projects. Now to execute the staff for which you need to negotiate with functional managers, recruiting agencies, HR department and negotiate resources based on  personal characteristics, competency levels, and availability of the potential team members. Which of the following processes provides the tools and techniques which describe negotiations?",,,[Qno: PML_162] >> ,,,,
,,,,,,,Develop Human Resource Plan,,,,,
,,,,,,,Develop Project Team,,,,,
,,,,,,,Manage Project Team,,,,,
,,,,,,1,Acquire Project Team,,,,,
Radio,HM,0,1,SingleQuestion,You are assigned as the project manager of an important project. To emphasis the importance and benefits of this project to the society you brought some high profile celebrity to address one of the project meeting. What type of power you have as project manager on this project.,,,[Qno: PML_165] >> Project Manager has Formal Power over his team members.,,,,
,,,,,,,Referent power,,,,,
,,,,,,,Coercive power,,,,,
,,,,,,,Expert power,,,,,
,,,,,,1,Formal power,,,,,
Radio,HM,0,1,SingleQuestion,"Your team&rsquo;s moral is down, you want to motivate them for higher productivity. Your friend, PMP certified project managers told that company policies and administration of salary, status and security can be a source of dissatisfaction but seldom contribute to long-term motivation.  Therefore you bring hygiene factors in place then only think for motivational factors. This theory was proposed by -------",,,[Qno: PML_206] >> ,,,,
,,,,,,1,Frederick Herzberg,,,,,
,,,,,,,Abraham Maslow,,,,,
,,,,,,,David McClelland,,,,,
,,,,,,,Alton Mayo and Peter Hawthrone,,,,,
Radio,HM,0,1,SingleQuestion,"In your database project you are facing resource scarcity of database architects. They are currently assigned to other projects. Raj, a database architect is needed for your project for 4 months. Which of the following skills will you use to get Raj assigned to your project?",,,[Qno: PML_208] >> ,,,,
,,,,,,,Communication skills.,,,,,
,,,,,,,Problem-solving skills.,,,,,
,,,,,,,Communication and organizational skills.,,,,,
,,,,,,1,Negotiation and influencing skills.,,,,,
Radio,HM,0,1,SingleQuestion,Management of the project team is difficult when -----,,,[Qno: PML_222] >> ,,,,
,,,,,,,Formal training plans are not implemented.,,,,,
,,,,,,1,When team members are accountable to functional as well as project managers,,,,,
,,,,,,,Minor problems do not impact the project completion date,,,,,
,,,,,,,Team members are co-located.,,,,,
Radio,HM,0,1,SingleQuestion,Your project team is a unit of well-organized people. Team members are interdependent and are working smoothly and effectively through conflicts & issues. What stage of team development you team is in?,,,[Qno: PML_246] >> ,,,,
,,,,,,,Storming,,,,,
,,,,,,,Norming,,,,,
,,,,,,1,Performing,,,,,
,,,,,,,Adjourning,,,,,
Radio,HM,0,1,SingleQuestion,Which of the following is not a format to describe the project organization and the positions?,,,[Qno: PML_282] >> ,,,,
,,,,,,,Hierarchical-type charts,,,,,
,,,,,,,Matrix-based charts,,,,,
,,,,,,,Text-oriented formats,,,,,
