View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,SM,0,1,SingleQuestion,What is the major output of the Define Scope process?,,,[Qno: PML_128] >> ,,,,
,,,,,,,Scope baseline,,,,,
,,,,,,1,Project scope statement,,,,,
,,,,,,,Accepted deliverables,,,,,
,,,,,,,Project scope document,,,,,
Radio,SM,0,1,SingleQuestion,Which of the following is not an output of the Collect Requirements process?,,,[Qno: PML_131] >> ,,,,
,,,,,,,Requirements documentation.,,,,,
,,,,,,,Requirements management plan.,,,,,
,,,,,,1,Alternative identification.,,,,,
,,,,,,,Requirements traceability matrix.,,,,,
Radio,SM,0,1,SingleQuestion,Reviewing deliverables with the customer or sponsor to ensure that they are completed satisfactory and obtaining formal acceptance of deliverables is part of:,,,[Qno: PML_134] >> ,,,,
,,,,,,,Perform Quality Assurance,,,,,
,,,,,,1,Verify Scope,,,,,
,,,,,,,Control Quality,,,,,
,,,,,,,Control Change,,,,,
Radio,SM,0,1,SingleQuestion,You friend has been assigned a project manager for a new project. Which document will guide the interactions between him and his selected vendors?,,,[Qno: PML_152] >> Procurement management plan is your internal document as project manager. Contract is common document between you and vendor.,,,,
,,,,,,1,The contract,,,,,
,,,,,,,The procurement management plan,,,,,
,,,,,,,The project plan,,,,,
,,,,,,,The Statement of Work (SOW),,,,,
Radio,SM,0,1,SingleQuestion,Which of the following is an output of Verify Scope?,,,[Qno: PML_160] >> ,,,,
,,,,,,,Scope baseline,,,,,
,,,,,,1,Accepted deliverables,,,,,
,,,,,,,Formal acceptance,,,,,
,,,,,,,Validated Deliverables,,,,,
Radio,SM,0,1,SingleQuestion,Anil is the project manager for a web interface development project. Which process he should use to ensure that the customer formally accepts the deliverables of each project phase?,,,[Qno: PML_179] >> ,,,,
,,,,,,1,Scope verification,,,,,
,,,,,,,Quality Control,,,,,
,,,,,,,Quality assurance,,,,,
,,,,,,,EVM,,,,,
Radio,SM,0,1,SingleQuestion,As Project Manager how would you best avoid scope creep?,,,"[Qno: PML_207] >> Because of business need changes are inevitable part of today&rsquo;s business. So neither we can stop them, nor dare to reject them. The best way is implement only approved changes.",,,,
,,,,,,,Insist in defining the scope at the beginning of the project.,,,,,
,,,,,,1,Insist that all change be approved.,,,,,
,,,,,,,Insist that all changes be made by a formal change request.,,,,,
,,,,,,,Do not accept any change Request in execution phase,,,,,
Radio,SM,0,1,SingleQuestion,You are the project manager of a real estate project. The scope of the current project in hand is similar to your previous project done by you. Which of the following you might consider?,,,[Qno: PML_214] >> Reusing WBS helps you knowing the list of deliverables. Other inputs mentioned cannot be used because this is different project.,,,,
,,,,,,1,Use the previous project&rsquo;s WBS as a template.,,,,,
,,,,,,,Use the previous project&rsquo;s product description when writing the scope statement.,,,,,
,,,,,,,Use the previous project&rsquo;s schedule as a template.,,,,,
,,,,,,,Use the previous project&rsquo;s cost-benefit analysis as justification for this project.,,,,,
Radio,SM,0,1,SingleQuestion,The process of defining and documenting stakeholders&rsquo; needs to meet the project objectives is called?,,,[Qno: PML_249] >> PMBOK(r) Guide 4th Edition Page49,,,,
,,,,,,,Manage Stakeholder Expectations.,,,,,
,,,,,,,Create WBS.,,,,,
,,,,,,,Verify Scope.,,,,,
,,,,,,1,Collect Requirements.,,,,,
Radio,SM,0,1,SingleQuestion,The HR manager write you an email and in that he asks you to a change the calculation method of a field on screen. This is considered as what of the following?,,,[Qno: PML_257] >> 1 is not true. Because this is not routine activity that he does.,,,,
,,,,,,,An ongoing operational activity.,,,,,
,,,,,,,A scope definition.,,,,,
,,,,,,,A project initiation.,,,,,
,,,,,,1,A project change request.,,,,,
Radio,SM,0,1,SingleQuestion,The Work Breakdown Structure is:,,,[Qno: PML_267] >> ,,,,
,,,,,,,a product oriented structure which shows the component elements necessary to produce the project deliverables.,,,,,
,,,,,,,an assignment oriented structure which shows which individuals are responsible for each of the project deliverables.,,,,,
,,,,,,,an activity oriented structure which shows which work components have been assigned to which organizational unit.,,,,,
,,,,,,1,a deliverable oriented structure that organizes and defines the total scope of the project.,,,,,
Radio,SM,0,1,SingleQuestion,You collected feedback from a group of experts. But the responses are only available to the facilitator to maintain anonymity. Which technique are you using?,,,[Qno: PML_276] >> ,,,,
,,,,,,,Brainstorming,,,,,
,,,,,,,Idea/mind mapping,,,,,
,,,,,,,Affinity diagram,,,,,
,,,,,,1,The Delphi Technique,,,,,
Radio,SM,0,1,SingleQuestion,Which of the following is not included into product analysis?,,,[Qno: PML_278] >> Earn value tool-technique is part of Cost Control.,,,,
,,,,,,,System analysis,,,,,
,,,,,,1,Earned value technique,,,,,
,,,,,,,Product breakdown,,,,,
,,,,,,,Value engineering,,,,,
Radio,SM,0,1,SingleQuestion,"The features and functions that characterize a product, service, or result are called?",,,[Qno: PML_283] >> PMBOK(r) Guide 4th Edition Page 103,,,,
,,,,,,,Project scope,,,,,
,,,,,,,Scope of deliverables,,,,,
,,,,,,1,Product scope,,,,,
