View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,TM,0,1,SingleQuestion,The most common type of dependency relationship is?,,,[Qno: PML_101] >> ,,,,
,,,,,,,Start-Start,,,,,
,,,,,,,Start-Finish,,,,,
,,,,,,1,Finish-Start,,,,,
,,,,,,,Finish-Finish,,,,,
Radio,HM,0,1,SingleQuestion,"What is the name of the database that contains information on skill, competencies, previous experience, personal interest and availability of resources which can be assigned to a project.",,,[Qno: PML_103] >> ,,,,
,,,,,,,The Availability Matrix.,,,,,
,,,,,,,Human Resources.,,,,,
,,,,,,,Staff Breakdown structure.,,,,,
,,,,,,1,Staffing Pool Description.,,,,,
Radio,TM,0,1,SingleQuestion,Your quality department told you that 25th of this month is external audit therefore all the project document should be ready by that time and you should be available for interview on that day. What did they informed you?,,,[Qno: PML_105] >> ,,,,
,,,,,,,Milestone,,,,,
,,,,,,1,Deadline,,,,,
,,,,,,,Constraint,,,,,
,,,,,,,Risk,,,,,
Radio,TM,0,1,SingleQuestion,Which of the following techniques is used to control the project schedule?,,,[Qno: PML_107] >> ,,,,
,,,,,,,Control Chart,,,,,
,,,,,,1,Variance Analysis,,,,,
,,,,,,,Statistical sampling.,,,,,
,,,,,,,Parametric modeling.,,,,,
Radio,SRE,0,1,SingleQuestion,"As a project manager for a high visibility project you received a preliminary press release for your approval before distribution. You are expected to approve the release without comment. While reviewing you identified a major discrepancy regarding some key project financial estimates that may mislead the audience. As a project manager on this project, giving current conditions, it is your responsibility to:",,,[Qno: PML_108] >> ,,,,
,,,,,,1,Approve the release but send a memo to the sponsor advising that you are aware of the discrepancy.,,,,,
,,,,,,,Inform the project sponsor of the discrepancy and refuse to approve the release.,,,,,
,,,,,,,Completely rewrite the press release and include the correct information.,,,,,
,,,,,,,Approve the release as requested.,,,,,
Radio,RM,0,1,SingleQuestion,"You are the project manager and one of your project activities is high-risk with a very high probability that your deadline is impacted. To ensure you will meet the deadline, you agreed with the major stakeholders to reduce the scope of the project to eliminate the high-risk activity. What type of risk response strategy are you using?",,,[Qno: PML_109] >> ,,,,
,,,,,,1,Mitigation,,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Transference,,,,,
,,,,,,,Acceptance,,,,,
Radio,IM,0,1,SingleQuestion,Expert judgment is a tool & technique of:,,,[Qno: PML_110] >> ,,,,
,,,,,,,Develop Project Management Plan.,,,,,
,,,,,,,Develop Project Charter.,,,,,
,,,,,,,Perform Integrated Change Control.,,,,,
,,,,,,1,All of the above.,,,,,
Radio,COM,0,1,SingleQuestion,All of the following are tools & techniques of Manage Stakeholder Expectations except:,,,[Qno: PML_111] >> Stakeholder analysis is Tool and Technique of Identify Stakeholder process,,,,
,,,,,,,Communication Technology,,,,,
,,,,,,,Interpersonal skills,,,,,
,,,,,,,Management skills,,,,,
,,,,,,1,Stakeholder analysis,,,,,
Radio,IM,0,1,SingleQuestion,You are going to a Change Control Board meeting. What do you take with you?,,,[Qno: PML_113] >> ,,,,
,,,,,,1,Performance Information,,,,,
,,,,,,,Scope statement,,,,,
,,,,,,,Corrective actions,,,,,
,,,,,,,Performance reports,,,,,
Radio,COM,0,1,SingleQuestion,Which of the following is an input to Distribute Information?,,,[Qno: PML_114] >> In communication management knowledge area Project Charter is input & Stakeholder register is output of identify stakeholders. Change request is input only to one process in PMBoK.,,,,
,,,,,,1,Project management plan,,,,,
,,,,,,,Stakeholder register,,,,,
,,,,,,,Project charter,,,,,
,,,,,,,Change requests,,,,,
Radio,CM,0,1,SingleQuestion,Which of the following best describes analog estimating?,,,[Qno: PML_116] >> ,,,,
,,,,,,1,Less accurate,,,,,
,,,,,,,Regression analysis,,,,,
,,,,,,,More accurate,,,,,
,,,,,,,Bottom-up estimating,,,,,
Radio,QM,0,1,SingleQuestion,Which of the following is not a cost of quality?,,,[Qno: PML_117] >> ,,,,
,,,,,,,Rework,,,,,
,,,,,,,Change requests,,,,,
,,,,,,,Fixing software bugs.,,,,,
,,,,,,1,Deferring change requests,,,,,
Radio,CM,0,1,SingleQuestion,EVM is part of,,,"[Qno: PML_118] >> PV is planning phase, AC is execution phase, EV, ETC, EAC is monitoring and controlling phase",,,,
,,,,,,,Executing processes,,,,,
,,,,,,,Closing processes,,,,,
,,,,,,,Controlling processes,,,,,
,,,,,,1,Entire project,,,,,
Radio,COM,0,1,SingleQuestion,Effective stakeholder management includes all of the following project elements except:,,,"[Qno: PML_120] >> As project manager you need to know how frequent the information need to be made available. Saying frequent is not sufficient, neither it guarantees the effective stakeholder management.",,,,
,,,,,,,Scope change control.,,,,,
,,,,,,,Timely status information.,,,,,
,,,,,,1,Frequent cost reports.,,,,,
,,,,,,,Clear requirements definition.,,,,,
Radio,RM,0,1,SingleQuestion,"Terms like uniform, normal, triangular, beta and log  are part of tools & techniques of Quantitative Risk Analysis?",,,[Qno: PML_121] >> ,,,,
,,,,,,1,Probability distributions,,,,,
,,,,,,,Statistical distributions,,,,,
,,,,,,,Impact distributions,,,,,
,,,,,,,Severity distributions,,,,,
Radio,CM,0,1,SingleQuestion,All of the following are outputs of Determine Budget except:,,,"[Qno: PML_123] >> Output of determine budget process Cost Performance Baseline, Project Funding Requirements, Project Documents Update",,,,
,,,,,,,Project document updates.,,,,,
,,,,,,,Cost performance baseline.,,,,,
,,,,,,,Project funding requirements.,,,,,
,,,,,,1,Organizational process updates.,,,,,
Radio,COM,0,1,SingleQuestion,"Of the following management skills, which will a project manager use most?",,,[Qno: PML_125] >> An effective project manager&rsquo;s 90 % time goes in communication activities,,,,
,,,,,,,Leading,,,,,
,,,,,,,Negotiations.,,,,,
,,,,,,,Influencing the organization.,,,,,
,,,,,,1,Communication.,,,,,
Radio,SM,0,1,SingleQuestion,What is the major output of the Define Scope process?,,,[Qno: PML_128] >> ,,,,
,,,,,,,Scope baseline,,,,,
,,,,,,1,Project scope statement,,,,,
,,,,,,,Accepted deliverables,,,,,
,,,,,,,Project scope document,,,,,
Radio,SM,0,1,SingleQuestion,Which of the following is not an output of the Collect Requirements process?,,,[Qno: PML_131] >> ,,,,
,,,,,,,Requirements documentation.,,,,,
,,,,,,,Requirements management plan.,,,,,
,,,,,,1,Alternative identification.,,,,,
,,,,,,,Requirements traceability matrix.,,,,,
Radio,QM,0,1,SingleQuestion,Which of the following is not an input to Perform Quality Control?,,,[Qno: PML_132] >> Scatter Diagram are tool & technique,,,,
,,,,,,1,Scatter diagram,,,,,
,,,,,,,Deliverables,,,,,
,,,,,,,Project management plan,,,,,
,,,,,,,Quality checklist,,,,,
Radio,SM,0,1,SingleQuestion,Reviewing deliverables with the customer or sponsor to ensure that they are completed satisfactory and obtaining formal acceptance of deliverables is part of:,,,[Qno: PML_134] >> ,,,,
,,,,,,,Perform Quality Assurance,,,,,
,,,,,,1,Verify Scope,,,,,
,,,,,,,Control Quality,,,,,
,,,,,,,Control Change,,,,,
Radio,PM,0,1,SingleQuestion,You are the project manager on a project where even after several round of discussion with contractor you do not know that how time and material it will take to complete the project. In this situation which type would be the most appropriate for this project?,,,[Qno: PML_137] >> ,,,,
,,,,,,,Fixed price (FP),,,,,
,,,,,,,Cost plus Incentive Fee (CPIF),,,,,
,,,,,,1,Time & Material (T&M),,,,,
,,,,,,,Cost plus Fixed Fee (CPFF),,,,,
Radio,RM,0,1,SingleQuestion,Insurance is an example of ___________?,,,[Qno: PML_138] >> ,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Acceptance,,,,,
,,,,,,,Mitigation,,,,,
,,,,,,1,Transference,,,,,
Radio,IM,0,1,SingleQuestion,Recently one of the important phase of your project closed and you invited project team for a lessons learned meeting to document the experience gained from the project. Which of the following should not be included into the lessons learned documentation?,,,[Qno: PML_140] >> ,,,,
,,,,,,1,Identifying who was responsible for any critical errors during the project and what action. should be taken to avoid such errors in the future.,,,,,
,,,,,,,Identifying the causes of variance.,,,,,
,,,,,,,Identifying the reasons for the corrective actions taken to successful team building.,,,,,
,,,,,,,Identifying the issues that led to the late finishing of particular tasks which caused a project delay.,,,,,
Radio,IM,0,1,SingleQuestion,Which of the following is not true about the project charter?,,,[Qno: PML_141] >> Project charter is written and signed by project sponsor,,,,
,,,,,,1,It should be written by the project manager as one of the first tasks.,,,,,
,,,,,,,It can be replaced by a signed contract.,,,,,
,,,,,,,It should include the business need that the project is to address. It should have high level budget & high level risks.,,,,,
,,,,,,,It should contain the description of the product and/or service.,,,,,
Radio,IM,0,1,SingleQuestion,You recent joined on contract as the project manager for a project with a budget of 3 million dollars. It is very important for you to ensure that this project is managed successfully. Which of the following should you rely on to improve your chances of success?,,,[Qno: PML_142] >> ,,,,
,,,,,,,Following organizational standards.,,,,,
,,,,,,1,Historical information.,,,,,
,,,,,,,Following general accepted practices.,,,,,
,,,,,,,Project management methodology.,,,,,
Radio,COM,0,1,SingleQuestion,You are working with a team of 10 engineers and 2 team leaders. In the mid of project two test engineers joins your project. How many new communication channel opened because of this event?,,,"[Qno: PML_144] >> Initial team size=13 and number of communication channel = n*(n-1)/2 = 13*12/2= 78<BR>
Modified team size = 15 and number of total communication channels in new team = 15*14/2 = 105<BR>
New communication channels = # of Channels in New Team- # of Channels in Old Team = 105- 78 =27",,,,
,,,,,,1,27,,,,,
,,,,,,,20,,,,,
,,,,,,,105,,,,,
,,,,,,,78,,,,,
Radio,QM,0,1,SingleQuestion,The concept of quality management based on a repeated plan-do-check-act cycle was first advocated by,,,[Qno: PML_146] >> ,,,,
,,,,,,,Kaoru Ishikawa,,,,,
,,,,,,,Joseph Juran,,,,,
,,,,,,,W. Edwards Deming,,,,,
,,,,,,1,Walter Stewarts,,,,,
Radio,RM,0,1,SingleQuestion,Information-gathering techniques used in the identify Risk process include all of the following except:,,,[Qno: PML_147] >> Checklist is output of Plan Quality process.,,,,
,,,,,,,Delphi,,,,,
,,,,,,,Root cause analysis,,,,,
,,,,,,1,Checklists,,,,,
,,,,,,,Brainstorming,,,,,
Radio,FW,0,1,SingleQuestion,What is the logical order of the 5 Process Groups?,,,[Qno: PML_148] >> ,,,,
,,,,,,,"Planning, Initiating, Executing, Monitoring and Controlling, Closing.",,,,,
,,,,,,,"Initiating, Planning, Monitoring and Controlling, Executing, Closing.",,,,,
,,,,,,,"Initiating, Executing, Planning, Monitoring and Controlling, Closing.",,,,,
,,,,,,1,"Initiating, Planning, Executing, Monitoring and Controlling, Closing.",,,,,
Radio,RM,0,1,SingleQuestion,You vendor reported you that some activities will lead to cost overrun. But you informed him that desired product features are more important to us than any cost overrun. what type of risk response is the customer using?,,,[Qno: PML_149] >> ,,,,
,,,,,,,Avoidance,,,,,
,,,,,,,Transference,,,,,
,,,,,,1,Acceptance,,,,,
,,,,,,,Mitigation,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager for an IT project with an 5 months duration and a Budget at Completion (BAC) = $500,000. After two months you have following input for your status reporting: PV = $300,000, EV = $250,000, AC = $350,000. What do you report as Percent Complete(PC)?",,,[Qno: PML_151] >> PC = EV / BAC,,,,
,,,,,,1,50%.,,,,,
,,,,,,,23%.,,,,,
,,,,,,,25%.,,,,,
,,,,,,,30%.,,,,,
