View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,IM,0,1,SingleQuestion,Expert judgment is a tool & technique of:,,,[Qno: PML_110] >> ,,,,
,,,,,,,Develop Project Management Plan.,,,,,
,,,,,,,Develop Project Charter.,,,,,
,,,,,,,Perform Integrated Change Control.,,,,,
,,,,,,1,All of the above.,,,,,
Radio,IM,0,1,SingleQuestion,You are going to a Change Control Board meeting. What do you take with you?,,,[Qno: PML_113] >> ,,,,
,,,,,,1,Performance Information,,,,,
,,,,,,,Scope statement,,,,,
,,,,,,,Corrective actions,,,,,
,,,,,,,Performance reports,,,,,
Radio,IM,0,1,SingleQuestion,Recently one of the important phase of your project closed and you invited project team for a lessons learned meeting to document the experience gained from the project. Which of the following should not be included into the lessons learned documentation?,,,[Qno: PML_140] >> ,,,,
,,,,,,1,Identifying who was responsible for any critical errors during the project and what action. should be taken to avoid such errors in the future.,,,,,
,,,,,,,Identifying the causes of variance.,,,,,
,,,,,,,Identifying the reasons for the corrective actions taken to successful team building.,,,,,
,,,,,,,Identifying the issues that led to the late finishing of particular tasks which caused a project delay.,,,,,
Radio,IM,0,1,SingleQuestion,Which of the following is not true about the project charter?,,,[Qno: PML_141] >> Project charter is written and signed by project sponsor,,,,
,,,,,,1,It should be written by the project manager as one of the first tasks.,,,,,
,,,,,,,It can be replaced by a signed contract.,,,,,
,,,,,,,It should include the business need that the project is to address. It should have high level budget & high level risks.,,,,,
,,,,,,,It should contain the description of the product and/or service.,,,,,
Radio,IM,0,1,SingleQuestion,You recent joined on contract as the project manager for a project with a budget of 3 million dollars. It is very important for you to ensure that this project is managed successfully. Which of the following should you rely on to improve your chances of success?,,,[Qno: PML_142] >> ,,,,
,,,,,,,Following organizational standards.,,,,,
,,,,,,1,Historical information.,,,,,
,,,,,,,Following general accepted practices.,,,,,
,,,,,,,Project management methodology.,,,,,
Radio,IM,0,1,SingleQuestion,As sponsor you have recently signed project charter of your project. What are you expecting next from your project manager?,,,[Qno: PML_156] >> ,,,,
,,,,,,,WBS,,,,,
,,,,,,1,Project Management Plan,,,,,
,,,,,,,Quality Plan,,,,,
,,,,,,,Risk Assessment register,,,,,
Radio,IM,0,1,SingleQuestion,All of the following statements are true regarding the Close Project or Phase process except:,,,[Qno: PML_163] >> ,,,,
,,,,,,,Close Procurements is not part of the Close Project or Phase process.,,,,,
,,,,,,1,Close Procurements is part of the Close Project or Phase process.,,,,,
,,,,,,,"When closing the project, the project manager will review all prior information from the previous phase closures to ensure that all project work is complete and that the project has met its objectives.",,,,,
,,,,,,,"The Close Project or Phase outputs is the final product, service, or result transition.",,,,,
Radio,IM,0,1,SingleQuestion,Which of the following is not an activity of configuration management during the Integrated Change Control?,,,[Qno: PML_203] >> ,,,,
,,,,,,1,Funding,,,,,
,,,,,,,Verification,,,,,
,,,,,,,Status accounting,,,,,
,,,,,,,Auditing,,,,,
Radio,IM,0,1,SingleQuestion,What are the inputs to Develop Project Charter?,,,[Qno: PML_211] >> ,,,,
,,,,,,,"Contract, Project selection methods, Enterprise environmental factors, Organizational process assets.",,,,,
,,,,,,,"Project statement of work, Project selection methods, Organizational process assets.",,,,,
,,,,,,1,"Project statement of work, Business case, Contract, Enterprise environmental factors, Organizational process assets.",,,,,
,,,,,,,"Project statement of work, Project selection methods, Enterprise environmental factors.",,,,,
Radio,IM,0,1,SingleQuestion,The project plan does not provide a baseline for ….,,,[Qno: PML_234] >> ,,,,
,,,,,,,Scope,,,,,
,,,,,,,Cost,,,,,
,,,,,,,Schedule,,,,,
,,,,,,1,Risk,,,,,
Radio,IM,0,1,SingleQuestion,"How do you call an applicable restriction or limitation, either internal or external to a project, which will affect the performance of the project or a process?",,,[Qno: PML_264] >> ,,,,
,,,,,,1,Constraint,,,,,
,,,,,,,Consequence,,,,,
,,,,,,,Assumption,,,,,
,,,,,,,Opportunity,,,,,
Radio,IM,0,1,SingleQuestion,The work performance information as an output of directing and managing project execution relates to the following except:,,,[Qno: PML_266] >> ,,,,
,,,,,,1,Risk response progress,,,,,
,,,,,,,Schedule progress,,,,,
,,,,,,,Cost incurred,,,,,
,,,,,,,Deliverable status,,,,,
Radio,IM,0,1,SingleQuestion,"Often scope, schedule and cost baselines combined together into ….",,,[Qno: PML_272] >> ,,,,
,,,,,,,Earned value measurement baseline,,,,,
,,,,,,,Work performance baseline,,,,,
,,,,,,,Staff performance baseline,,,,,
,,,,,,1,Performance measurement baseline,,,,,
Radio,IM,0,1,SingleQuestion,Direct and Manage Project Execution also requires implementation of approved changes. There are few changes which are related to documented direction to perform an activity that can reduce the probability of negative consequences associated with the project risk.  What do you call these kind of change requests?,,,[Qno: PML_351] >> ,,,,
,,,,,,1,Preventive action,,,,,
,,,,,,,Corrective action,,,,,
,,,,,,,Defect repair,,,,,
,,,,,,,Modifications,,,,,
Radio,IM,0,1,SingleQuestion,A project charter is made and signed by project sponsor. It has name of the project managers and …,,,[Qno: PML_371] >> ,,,,
,,,,,,,name of the team members who will join the project with their responsibilities.,,,,,
,,,,,,,Name of the people where he can talk and where he not.,,,,,
,,,,,,,The compensation and bonus for managing the project.,,,,,
,,,,,,1,Responsibility and authority of the project manager.,,,,,
Radio,IM,0,1,SingleQuestion,You are working on a project where you have completed all the project work and about the deliver the product to customer. You finished all work under 20 % budget and 15 % less time. During final customer acceptance customer has raised several change requests and threat that if you do not implement all the change request then we will not accept the product and go to the court. What shall you do in this situation?,,,[Qno: PML_386] >> ,,,,
,,,,,,,Insist that you have completed the project according to the product specifications.,,,,,
,,,,,,1,"Obtain the requested changes and estimate the cost. If the cost of the changes is within the original budget, just do the extra and issue the final invoice for the amount as specified in the contract.",,,,,
,,,,,,,"Customer cannot do anything, you have completed the work as per his requirement. Just go ahead and raise invoice.",,,,,
,,,,,,,Tell the customer to file a formal change request to be passed through the formal change control procedure.,,,,,
Radio,IM,0,1,SingleQuestion,What is the difference between a project baseline and a project plan?,,,[Qno: PML_437] >> ,,,,
,,,,,,,"Baselines change only at milestones, project plans change as required.",,,,,
,,,,,,,Baselines and project plans do not change. There are no differences.,,,,,
,,,,,,1,"Baselines are control tools, project plans are execution tools.",,,,,
,,,,,,,"Baselines are snapshots of the project plan, project plans change as required.",,,,,
Radio,IM,0,1,SingleQuestion,A PMP certified project manager told you that you must document the lesson learned on the project ,,,"[Qno: PML_526] >> PMBOK(r) Guide 4th Edition, page 214.",,,,
,,,,,,,At the end of the project during closing.,,,,,
,,,,,,,After the end of the project at a project post-mortem meeting.,,,,,
,,,,,,,Lessons learned can be organized when there is time available.,,,,,
,,,,,,1,During the project lifecycle and at the end.,,,,,
Radio,IM,0,1,SingleQuestion,During the Close Project process all expected to be done except,,,[Qno: PML_780] >> Creation of deliverables is output of the Direct and Manage Project execution process.,,,,
,,,,,,,The handing over of deliverables to the receiving party.,,,,,
,,,,,,,Documenting the project learnings.,,,,,
,,,,,,1,Creation of deliverables of the project.,,,,,
,,,,,,,Release of project resources.,,,,,
