View,Category,Randomize,Score,Type,Question,Correct,Answers,Note,Correct_1,Score_1,Case Insensitive,Correlation
Radio,CM,0,1,SingleQuestion,"You hired an external SME for your project through a Time & Material contract. The agreed daily rate is $225 and the contract is limited to $9,000. The task is completed after 25 working days. Which amount is to be billed by the SME?",,,[Qno: PML_327] >> ,,,,
,,,,,,,"$ 9,000",,,,,
,,,,,,1,"$ 5,625",,,,,
,,,,,,,"$ 8,000",,,,,
,,,,,,,"$ 6,000",,,,,
Radio,CM,0,1,SingleQuestion,"A cost-plus-incentive-fee contract has the following characteristics: target cost: $100,000, target fee: $10,000, maximum fee: $15,000, minimum fee: $8,000, sharing ratio: 70/30. How much will the contractor be reimbursed if the cost of performing the work is 90,000?",,,"[Qno: PML_340] >> Target Cost 100000<BR>Target Profit 10000  <BR>Target Price 110000  <BR>Minimum Fee 8000  <BR>Maximum Fee 15000  <BR>Buyer/Seller Ratio 70% / 30%<BR>Actual Cost  90000  <BR>   <BR>Cost Saving Target Cost - Actual Cost  <BR>: Cost Saving 10000  <BR>Seller&rsquo;s Share in Cost Saving Cost Saving * Seller Share Ratio<BR>:Seller&rsquo;s Share in Cost Saving 3000<BR>Actual Fee Seller&rsquo;s Share in Cost Saving + Target Profit  <BR>:Actual Cost 13000 If actual fee is less than min fee than min fee is paid. If actual fees is more than max fee than max is paid else actual fees is paid <BR>Cost of Contract Actual Cost + max(Actual Fee, Min Fee) or min(Actual fee, Max Fee)  <BR>:Cost of Contract 103000  ",,,,
,,,,,,,"$ 115,000",,,,,
,,,,,,,"$ 107,000",,,,,
,,,,,,1,"$ 103,000",,,,,
,,,,,,,"$ 108,000",,,,,
Radio,CM,0,1,SingleQuestion,On your project schedule is ruling objective because major marketing events are planned towards the completion of your project. Marketing team is working in full swing to promote the product. You have to finish the project on time. What tool you will use to validate your estimates?,,,[Qno: PML_342] >> ,,,,
,,,,,,1,Variance analysis,,,,,
,,,,,,,Earned value analysis,,,,,
,,,,,,,Monte Carlo analysis,,,,,
,,,,,,,Project management software,,,,,
Radio,CM,0,1,SingleQuestion,"You are the project manager of a project. The project has a budget of $60,000 and is expected to last 8 months. After two months the project is now 15% complete and is on schedule. Calculate EV?",,,[Qno: PML_356] >> ,,,,
,,,,,,1,"$ 9,000",,,,,
,,,,,,,"$15,000",,,,,
,,,,,,,"$ 10,000",,,,,
,,,,,,,Cannot be determined,,,,,
Radio,CM,0,1,SingleQuestion,Summing estimated costs by period and displaying it in the form of an S-curve is called?,,,[Qno: PML_368] >> ,,,,
,,,,,,,Cost baseline,,,,,
,,,,,,,Cost estimate,,,,,
,,,,,,,Cost curve,,,,,
,,,,,,1,Cost performance,,,,,
Radio,CM,0,1,SingleQuestion,"Assume a discount rate of 6 percent per year and an investment of$80,000. You expected revenue is $25,000 for the first year and $45,000 for the second year. What is the projected Net Present Value (NPV) of your investment at the end of the second year?",,,[Qno: PML_385] >> ,,,,
,,,,,,1,"$ 16,365",,,,,
,,,,,,,"$ 29,204",,,,,
,,,,,,,"$ 15,374",,,,,
,,,,,,,"$ 27,303",,,,,
Radio,CM,0,1,SingleQuestion,"What is the present value of $50,000 received three years from now using a 9% interest rate?",,,[Qno: PML_414] >> ,,,,
,,,,,,,"$ 37,820",,,,,
,,,,,,1,"$ 39,609",,,,,
,,,,,,,"$ 21,360",,,,,
,,,,,,,"$ 21,224",,,,,
Radio,CM,0,1,SingleQuestion,Decomposition is NOT tool and technique of ,,,[Qno: PML_2892] >> ,,,,
,,,,,,,Create WBS,,,,,
,,,,,,,Define Activities,,,,,
,,,,,,1,Estimate Cost,,,,,
,,,,,,,None of the above,,,,,
Radio,CM,0,1,SingleQuestion,What is true about EMV & EVM,,,[Qno: PML_2901] >> Earn value management (EVM) & EVM (Expected Monitory Value) both the concepts use analysis & calculation.,,,,
,,,,,,,Both tools are used in monitoring & controlling processes,,,,,
,,,,,,1,Both involves analysis & mathematical calculation,,,,,
,,,,,,,"EMV does not exist, only EVM is right term",,,,,
,,,,,,,Both are related to earned value,,,,,
Radio,COM,0,1,SingleQuestion,The first meeting of the project when you address all stakeholders and outline about how everyone will communicate as the project progress is called ….,,,[Qno: PML_331] >> ,,,,
,,,,,,,Status meeting,,,,,
,,,,,,,Steering Committee Meeting,,,,,
,,,,,,,Stakeholder identification meeting,,,,,
,,,,,,1,Kick-off meeting,,,,,
Radio,COM,0,1,SingleQuestion,"Who is responsible on your project to decide about what communication method need to be used, how and when?",,,[Qno: PML_346] >> ,,,,
,,,,,,,Project Team,,,,,
,,,,,,,Executing Sponsor,,,,,
,,,,,,1,Project Manager,,,,,
,,,,,,,PMO,,,,,
Radio,COM,0,1,SingleQuestion,Video conferencing tool  where CEO can address the project team and address only selected queries. This is an example of ,,,[Qno: PML_378] >> ,,,,
,,,,,,,Push communication,,,,,
,,,,,,,Pull communication,,,,,
,,,,,,,Forward/backward communication,,,,,
,,,,,,1,Interactive communication,,,,,
Radio,COM,0,1,SingleQuestion,Your team has recently completed draft of the detail design and you presented the detail design draft to key stakeholders and sponsor. After the review was over your sponsor told you that you have not invited one key stakeholder for the review. As a result of this you may have to do several design change and designing team will be required to work minimum extra 15 days on this phase which will cost schedule delay and cost overrun. How do you explain this situation?,,,[Qno: PML_393] >> ,,,,
,,,,,,,We do not have enough time and budget to accommodate the request of this stakeholder in this phase.,,,,,
,,,,,,,The sponsor should not come up with unreasonable requests.,,,,,
,,,,,,,Your team made a serious mistake and you need to do the causal analysis and find the person responsible for this.,,,,,
,,,,,,1,This is a result of inadequate stakeholder analysis and project manager is responsible for this.,,,,,
Radio,COM,0,1,SingleQuestion,You published recent project report on your project portal. This information can be used by stakeholder at their own pace. This is an example of -----,,,[Qno: PML_407] >> ,,,,
,,,,,,,Interactive communication,,,,,
,,,,,,,Information gathering,,,,,
,,,,,,,Pull communication,,,,,
,,,,,,1,Push communication,,,,,
Radio,COM,0,1,SingleQuestion,Which process of communication management knowledge does NOT use communication method tool,,,[Qno: PML_2903] >> While identifying stakeholders you need not to use any communication methods.,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,1,Identify Stakeholders,,,,,
,,,,,,,Plan Communications,,,,,
,,,,,,,Report Performance,,,,,
Radio,COM,0,1,SingleQuestion,Change Log is input to,,,[Qno: PML_2915] >> ,,,,
,,,,,,,Integrated Change Control,,,,,
,,,,,,1,Management Stakeholder Expectation,,,,,
,,,,,,,Manage Project Team,,,,,
,,,,,,,Administer Procurement,,,,,
Radio,COM,0,1,SingleQuestion,One of your stakeholder has recently requested a change which you think is not part of the project scope. What shall you do?,,,[Qno: PML_2916] >> ,,,,
,,,,,,1,"Enter the change in change log, then discuss with stakeholder. If they insist on change then raise a change request and process the same through perform integrated change control",,,,,
,,,,,,,Reject the change,,,,,
,,,,,,,Conduct the impact analysis and ask stakeholder for approval,,,,,
,,,,,,,"Ignore it, as these kind of change request keep coming in any project which has progressive elaboration.",,,,,
Radio,COM,0,1,SingleQuestion,The tool ------- is not suitable for generating forecast information.,,,[Qno: PML_2968] >> PMBOK(r) Guide 4th Edition Page259,,,,
,,,,,,,Earned Value Methods,,,,,
,,,,,,,Analogy with Past Projects,,,,,
,,,,,,,Re-estimating remaining work,,,,,
,,,,,,1,Pareto Chart,,,,,
Radio,COM,0,1,SingleQuestion,Process of making relevant information available to project stakeholders as planned is called,,,[Qno: PML_2969] >> ,,,,
,,,,,,1,Distributed information,,,,,
,,,,,,,Report Performance,,,,,
,,,,,,,Manage Stakeholders Expectations,,,,,
,,,,,,,Monitor & Control Project Communication,,,,,
Radio,COM,0,1,SingleQuestion,The focus of distribute information process is on,,,[Qno: PML_2970] >> ,,,,
,,,,,,1,Execution,,,,,
,,,,,,,Monitoring,,,,,
,,,,,,,Controlling,,,,,
,,,,,,,2 & 3 Both,,,,,
Radio,COM,0,1,SingleQuestion,In your project a stakeholder requested for an unplanned meeting where you need to update the status of the project. This example is related to ,,,[Qno: PML_2971] >> Distribute information is executing process group process and here you may  also have to handle unexpected request like this.,,,,
,,,,,,1,Distribute information process,,,,,
,,,,,,,Manage stakeholder expectations process,,,,,
,,,,,,,Report performance process,,,,,
,,,,,,,All of the above,,,,,
Radio,COM,0,1,SingleQuestion,The process of collecting and distributing performance information is called,,,[Qno: PML_2972] >> ,,,,
,,,,,,,Distributed information,,,,,
,,,,,,1,Report Performance,,,,,
,,,,,,,Manage Stakeholders Expectations,,,,,
,,,,,,,Monitor & Control Project Communication,,,,,
Radio,COM,0,1,SingleQuestion,Which one of the below is not objective of performance reporting,,,[Qno: PML_2973] >> Report performance is focused on monitoring & controlling activities. This process is responsible for periodically compiling project reports and send to the relevant stakeholders.,,,,
,,,,,,,Period collection and analysis of baseline versus actual data,,,,,
,,,,,,,Understand project progress and performance,,,,,
,,,,,,,Forecast the project results,,,,,
,,,,,,1,Making Report available whenever asked,,,,,
Radio,COM,0,1,SingleQuestion,All of the following are inputs of manage stakeholder expectations Except?,,,[Qno: PML_2974] >> ,,,,
,,,,,,,Stakeholder Register,,,,,
,,,,,,,Stakeholder Management Strategy,,,,,
,,,,,,,Change Log,,,,,
,,,,,,1,Activity Resource Estimate,,,,,
Radio,COM,0,1,SingleQuestion,Your PMO periodically makes a project report and send to relevant stakeholders. This process is called,,,[Qno: PML_2975] >> Report performance is focused on monitoring & controlling activities. This process is responsible for periodically compiling project reports and send to the relevant stakeholders.,,,,
,,,,,,1,Report Performance,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholders Expectations,,,,,
,,,,,,,Monitor & Control Project Communication,,,,,
Radio,COM,0,1,SingleQuestion,Work performance information and work performance measurement both are required for,,,[Qno: PML_2976] >> ,,,,
,,,,,,1,Report  Performance,,,,,
,,,,,,,Distribute information,,,,,
,,,,,,,Manage stakeholder expectations,,,,,
,,,,,,,Manage Project Team,,,,,
Radio,COM,0,1,SingleQuestion,Performance report is input to all EXCEPT,,,[Qno: PML_2977] >> ,,,,
,,,,,,1,Report  Performance,,,,,
,,,,,,,Distribute information,,,,,
,,,,,,,Manage project team,,,,,
,,,,,,,Administer procurement,,,,,
Radio,COM,0,1,SingleQuestion,Budget forecast is input to,,,[Qno: PML_2978] >> Performance report is output of report performance process,,,,
,,,,,,,Cost Control,,,,,
,,,,,,1,Report Performance,,,,,
,,,,,,,Distribute Information,,,,,
,,,,,,,Manage Stakeholder Expectations,,,,,
Radio,COM,0,1,SingleQuestion,Output of distribute information process is,,,[Qno: PML_2979] >> Distribute information process has only one output -Organization Process Assets Updates,,,,
,,,,,,1,Organization process Assets Updates,,,,,
,,,,,,,Enterprise Environment Factor Update,,,,,
,,,,,,,Performance Report,,,,,
,,,,,,,Project Documents Update,,,,,
Radio,FW,0,1,SingleQuestion,You are assigned as project manager to a new project. To help yourself to understand the environment quickly you will asked for which information?,,,[Qno: PML_433] >> ,,,,
,,,,,,,Industry standards,,,,,
,,,,,,1,Historical information,,,,,
,,,,,,,Government regulations,,,,,
,,,,,,,Organization structure,,,,,
Radio,FW,0,1,SingleQuestion,Variance Analysis tool and technique usually used in,,,[Qno: PML_3002] >> ,,,,
,,,,,,,Project Planning Processes,,,,,
,,,,,,,Project Execution Processes,,,,,
,,,,,,1,Project Monitoring & Control Processes,,,,,
,,,,,,,Project Closing Processes,,,,,
Radio,FW,0,1,SingleQuestion,Portfolio Manager monitors ,,,[Qno: PML_2864] >> ,,,,
,,,,,,,"The work of producing  products, services or results",,,,,
,,,,,,,"The overall goals, schedules, budget and benefits of the program met or not",,,,,
,,,,,,,Aggregate performance and value indicators.,,,,,
,,,,,,1,All of the above,,,,,
Radio,FW,0,1,SingleQuestion,Success of portfolio is measured by,,,[Qno: PML_2865] >> ,,,,
,,,,,,,"Success of product & project quality, timelines, budget compliance, degree of customer satisfaction",,,,,
,,,,,,,The degree to which program satisfies the need and benefits for which it was undertaken,,,,,
,,,,,,,Aggregate performance of all related components,,,,,
,,,,,,1,All of the above,,,,,
Radio,FW,0,1,SingleQuestion,Primary Function of PMO can NOT be,,,"[Qno: PML_2866] >> PMBOK(r) Guide 4th Edition Page11,12",,,,
,,,,,,,Manage shared resource,,,,,
,,,,,,,Identify best practices & standards,,,,,
,,,,,,,"Coaching, mentoring, training",,,,,
,,,,,,1,"Managing the constraints (scope, cost, risk, quality etc) of project",,,,,
Radio,FW,0,1,SingleQuestion,Which of these is not Enterprise Environment Factor,,,[Qno: PML_2867] >> Estimation methodologies are organizational process assets,,,,
,,,,,,,Skills sets available,,,,,
,,,,,,,Infrastructure,,,,,
,,,,,,,Political climate,,,,,
,,,,,,1,Estimation Methodologies in organization,,,,,
Radio,FW,0,1,SingleQuestion,In the context of project lifecycle activities which statement is correct,,,[Qno: PML_2868] >> ,,,,
,,,,,,,Project planning activities start when project initiating activities finishes,,,,,
,,,,,,,Project executing activities start after project planning activities finishes,,,,,
,,,,,,,Project monitoring and controlling activities start after executing activities finishes,,,,,
,,,,,,1,Project executing activities start after the start of project planning activities,,,,,
Radio,FW,0,1,SingleQuestion,Risk is low ------- phase and cost of change is low ----- Phase,,,[Qno: PML_2869] >> ,,,,
,,,,,,1,"closing project, starting project",,,,,
